Report generated on: 11-03-2021 14:07:28
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","natural gas CO2 emissions (MMtonnes CO2)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.3002-8-CHN-MMTCD.A","        China","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.839452783","27.4807005","23.26699309","26.320404257","26.74788182","27.908178063","29.557020093","30.167702327","30.717316337","30.839452783","30.190328103","31.224213124","31.558506686","33.03491648","34.805027788","35.851769543","39.828159215","42.99168162","44.680127335","48.234463415","50.031135696","54.015691157","58.842191998","63.3965291","74.866566393","91.732886168","110.525890254","138.059462192","151.117447631","173.278233238","208.939515111","256.348872054","281.319405614","319.365546727","354.690050448","373.591538352","405.480667677","467.168069473","548.698591813","600.276259436"
"INTL.3002-8-COL-MMTCD.A","        Colombia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.303132","6.748808","6.748808","6.494136","9.104524","9.168192","9.168192","6.900550067","7.196287927","7.196287927","7.442736143","7.639894717","7.432634231","7.738474003","8.00710256","7.919859891","8.250746195","10.391762613","10.896555102","9.016638247","9.9217834","10.600642264","10.722488727","10.600642264","11.070621477","11.610227241","12.567592306","13.124604708","13.054978157","15.126368025","15.805226889","15.387467588","17.563297281","18.625102171","20.417985838","20.035039812","18.977279656","18.493556606","19.95179338","20.662232365"
"INTL.3002-8-COM-MMTCD.A","        Comoros","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-COG-MMTCD.A","        Congo-Brazzaville","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.022220132","0.033330198","0.033330198","0.038885231","0.038885231","0.11110066","0.022220132","0.11110066","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.235411188","0.353116783","0.568910372","0.725851164","1.039732749","1.824436711","2.25602389","2.293297328","3.236903842","2.942639856","2.942639856","2.746465532","2.7268481","2.7268481","2.746846814"
"INTL.3002-8-COD-MMTCD.A","        Congo-Kinshasa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000750538","0.000740841","0.000740841"
"INTL.3002-8-COK-MMTCD.A","        Cook Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-CRI-MMTCD.A","        Costa Rica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.3002-8-HRV-MMTCD.A","        Croatia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","5.333942687","5.763650598","5.06174607","4.551238537","4.904538636","5.492927731","5.237898944","5.218281345","5.434074934","5.571398127","5.159428547","5.983367707","5.394839736","5.277134142","5.355604538","5.467424852","5.816618115","5.259478302","5.569436367","4.843585203","5.638097964","4.853394002","3.929405088","4.029454843","4.319792842","5.05152307","5.409200246","5.67765902"
"INTL.3002-8-CUB-MMTCD.A","        Cuba","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.033330198","0.016665099","0.016665099","0.016665099","0.005555033","0.011110066","0.011110066","0.044440264","0.038885231","0.061105363","0.063327376","0.065549389","0.067771403","0.069437913","0.067771403","0.080459374","0.084355676","1.471319928","0.784703962","0.980879952","1.177055942","0.588527971","0.686615966","0.725851164","0.725851164","0.784703962","0.743482646","1.115223968","2.156099672","2.156099672","1.988816077","1.914467812","1.921902639","2.020414089","2.230447937","2.323383267","2.213720509","1.963610015","1.814325958","1.814140971"
"INTL.3002-8-CYP-MMTCD.A","        Cyprus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
