Report generated on: 11-03-2021 14:09:38,,,,,petroleum and other liquids CO2 emissions (MMtonnes CO2),,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Burundi,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.209395776,0.4,0.2,0.2,0.264970514,0.233810047,0.283664742,0.239258433,0.390188,0.468876,0.52089837,0.44352004,
        Cabo Verde,0.09635,0.09921,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.3,0.3,0.360745456,0.3,0.4,0.4,1.003405603,0.844979104,0.840027485,0.909728098,0.905513,0.951232,0.997356969,1.001529634,
        Cambodia,0.5,0.5,0.5,0.5,0.5,1.4,1.5,1.9,2.1,2.1,2.2,2.5,2.7,3,3.4,3.6,3.9,4.089236749,4.2,4,4.962414048,5.017795423,5.278816874,5.257842498,5.458399137,6.067213,6.906744,7.121152,7.794608,
        Cameroon,3.4,3.5,3.6,2.8,3.1,3.1,3,3.1,3.1,3.2,3.3,3.2,3.2,3.4,3.4,3.4,3.8,4.276585321,4.1,4.8,5.4,6.041916501,5.363625332,4.416440359,6.061463355,5.946235,5.507901,5.28505,4.929033,
        Canada,254.1939945,242.5236298,252.2428696,253.7500517,257.788887,262.5517917,270.4244221,279.2554388,283.7333794,290.2850639,289.6693716,296.16974,314.2980691,333.2835519,343.7567416,357.8462469,358.8567061,375.5558377,359.3726445,346.1787353,361.9713622,361.3531689,364.9005296,362.3383616,356.3146885,366.7967064,368.6229265,361.3301974,371.1332409,354.0419109
        Cayman Islands,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.469614249,0.5,0.6,0.6,0.640238431,0.591050963,0.581374714,0.59238264,0.637089,0.626893,0.717927,0.667298,
        Central African Republic,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.354199611,0.3,0.3,0.3,0.39045643,0.401034275,0.404893391,0.408906323,0.415213,0.418203,0.413368647,0.417437019,
        Chad,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.297427198,0.3,0.3,0.3,0.327842743,0.316141067,0.334930921,0.333739735,0.957926,0.97189,0.968868791,0.997569791,
        Chile,20.905775,21.581802,23.537491,25.805691,27.634957,30.630844,33.231807,35.275031,36.538094,38.326484,35.616556,34.712821,36.564172,37.702428,41.218487,43.073213,43.77893,53.799369,56.634789,53.089212,48.155777,50.06345,50.253331,51.294959,49.084122,49.789722,52.111127,52.204177,53.377308,54.31057
        China,335,364,375,426,444,476,482,539,536,572,643,658,693,717,850,889,928,783.5,995,1107,1180.219213,1257.167642,1328.880916,1392.550812,1446.7761,1493.438926,1553.972028,1606.267592,1662.494164,
