Report generated on: 11-03-2021 14:22:01
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"","energy consumption per GDP (1000 Btu/2015$ GDP PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.47-34-BLZ-TBTUUSDPP.A","        Belize","0","0","0","0","0","0","0","0","3.7005566661462863","4.61046485429367","5.458698425137964","5.545969677452938","4.149066692021799","3.8943347016638223","3.7074027364465283","4.5551548182840955","4.011759140457702","5.982473781574271","5.672120599287173","5.435114956945756","5.175657165688357","5.386823720087943","4.977441324565238","4.466268322985425","4.106437041560813","4.313276944617873","4.733713015678408","4.443762724172907","4.152628396650339","4.371047266830955","4.977517959801194","4.260125339505457","4.32146705572193","4.648666526014086","4.443906388802688","4.786917624339205","4.794120992837832","5.2326184115227825","4.541978399248465",""
"INTL.47-34-BEN-TBTUUSDPP.A","        Benin","0","0","0","0","0","0","0","0","0.7350527108211374","0.7797065614544588","0.8221059847906595","0.9219053551892806","0.9948901768621459","1.033663126452041","1.0600689683217437","1.078898940086511","1.1289419816799728","1.1550148345581845","1.197682037666194","0.5581540463840621","1.4048286732998672","1.517937317656436","1.662019134962782","1.865436061184664","1.8834651329243364","1.7383484829276747","2.2857709741351813","2.5458428703240776","2.481998820869582","2.6930692772861518","3.0245853903569224","2.7384796207743296","2.479765646955201","2.3571020704868904","2.343009465408141","2.5460240481223226","3.1133373813084746","3.013660462581561","2.8253556214062105",""
"INTL.47-34-BMU-TBTUUSDPP.A","        Bermuda","0","0","0","0","0","0","0","0","2.46068776880185","2.969774193570295","2.1650317433372943","1.8918554759524733","1.51946036837023","1.7237865406819748","1.6353665219862317","1.5914741569564546","1.580845330112553","1.5071972709481445","1.4504850454385265","1.4029321536670547","1.4888559450020153","1.4084364974806793","1.5044127785035417","1.451488616326065","1.468330539290221","1.5207215191283077","1.6418952024637836","1.7887988667262034","1.6397287906169253","1.3294888758227932","1.5563269986891943","1.0449267523732764","1.1933839422193182","1.2020942241015382","1.6166557656216027","1.3490228521210386","1.7283583478761146","1.6454396929844002","1.7004654191730222",""
"INTL.47-34-BTN-TBTUUSDPP.A","        Bhutan","0.2612697820229975","0.8405854574357612","0.837288888290984","0.7392062158077888","0.7314154389952032","0.7576530713046898","3.3067680637967025","8.856469457047869","10.652636692232898","10.087152163812409","9.593913211593355","9.808830876884596","9.523913437650577","9.374891681813995","9.547705320147767","9.522396190851563","9.889302970359976","9.456620776077369","8.731076798680176","8.168495016329647","7.874154167111882","8.022705628943232","7.995797986918272","8.25952310631166","7.4981309795887245","7.919285398431041","11.989050621820251","12.656823109543144","12.481430344115564","12.125601270590993","11.598673147160957","10.451597959101903","9.66038646740753","10.478686652405468","9.48482050062698","9.314468169313109","8.857704967861356","8.408217776943907","7.69852796073972",""
"INTL.47-34-BOL-TBTUUSDPP.A","        Bolivia","0","0","0","0","0","0","0","0","2.9724171973784768","3.2447154395959927","3.278847646531993","3.0649609541172897","3.2558472100894487","3.0806804139980257","3.2875618520258514","3.599091619295304","3.3781455979754824","3.609853017177977","3.1880824312499274","3.566020835372112","3.6512822594538603","3.0729234607666616","3.270508696659108","4.280610658644773","4.261589614473852","3.9982536932041572","4.199476040312061","4.315200901950299","4.172638972786496","3.978860754572049","3.877234034090504","3.8146079484437494","4.301237458538475","4.0816513834363315","3.9040519342833484","3.913342350773951","3.8874719869188725","3.6780390870489583","3.644573419006096",""
"INTL.47-34-BIH-TBTUUSDPP.A","        Bosnia and Herzegovina","--","--","--","--","--","--","--","--","--","--","--","--","20.99233074271067","15.502028035757276","14.674166096065868","20.141583238315697","8.125062786193016","8.482220092364514","8.59015477904805","7.921690447678422","8.316453407666936","7.996601936278755","7.671557228117579","6.396345861773803","6.294792649552031","5.600207105956913","5.295247686968655","4.73109577777528","5.144498124861932","6.403968172438699","6.913990032816116","6.576758178915189","6.399314492326076","6.382852612761675","6.111952501167299","5.880046001683555","5.79588160075779","5.5404831296085835","5.455647530731772",""
"INTL.47-34-BWA-TBTUUSDPP.A","        Botswana","3.534432274332631","3.3974574461191165","2.826189950444502","2.503626968771351","2.303941621607861","2.809006690241482","2.7612338342996656","2.6012801503981637","2.5205221829396645","2.518600828472935","2.6059088334849125","2.538279956368604","2.9917119782443646","2.848324283207245","2.8243196236602635","2.685779121237217","2.4130277307672205","2.310820243667661","2.467109192571558","2.1301643070911966","2.740500093443517","2.880601221353077","2.845338082168439","2.701790705065505","2.590762747420366","2.632722465492957","2.5933645516053065","2.4600399383689173","2.409694924376261","2.4410302290316794","2.3168811676001293","2.2918548263692107","2.1683579758894647","1.933004922580076","1.8790203939578431","2.4288584626606715","2.4980627416496612","2.2077153455561622","2.0734272885528737",""
"INTL.47-34-BRA-TBTUUSDPP.A","        Brazil","3.05424668066378","3.1034106206162733","3.133555569113319","3.2623553416166104","3.3821190164611914","3.344454585686561","3.3399964402498066","3.3319854522373187","3.453264579119874","3.4538214087548","4.041917152956921","3.9529700019661895","4.05013107139918","4.006439978340591","3.9715618737767677","4.048288967773937","4.22096473043893","4.276685668068237","4.397801949569376","4.472568229348385","4.410179868242682","4.235675672446169","4.189733228577801","4.208472163246742","4.168723155050952","4.148149360677108","4.092963384615465","4.103904021630619","4.094589458727933","4.046462390618554","4.123084104871175","4.112765789031632","4.13909651674487","4.13204354569561","4.211385417168582","4.303721135525595","4.377799532032728","4.356292151378654","4.263715577853763",""
"INTL.47-34-VGB-TBTUUSDPP.A","        British Virgin Islands","0","0","0","0","0","0","0","0","3.5055850225952225","3.218551655861394","2.5569094189439143","2.0805225252598403","1.677364455427495","1.2796307223210948","1.0261006414954874","0.8298474908226866","0.9956959324723071","0.8986152190022231","0.8142605552212575","0.7431014164305949","1.198646830582369","1.1726783619895604","1.283417484672322","1.568050645788298","1.5888340118900643","1.429556300062793","1.5760374469140406","1.6489160487743832","1.7970636737219547","1.9070926375144577","1.9671174241632443","2.0743014045339043","2.0816308534847083","2.011424426527917","2.00945887817898","2.0025387373435626","1.8913374648300116","1.7642887978862987","2.131865868992435",""
"INTL.47-34-BRN-TBTUUSDPP.A","        Brunei","0","0","0","0","0","0","0","0","3.9928083326163737","4.589691351341847","3.841727349407524","2.976573446585441","2.778403046480973","2.632770873297884","2.4531767123465564","2.9040328829295747","2.6289213051823417","2.853481907231999","2.5953595959264586","2.971475821709662","2.94567856136221","3.259677853231209","3.6644437004306205","3.68408217548637","4.070546521161926","4.567825217911286","6.743103268467642","7.068059921178472","7.402578431840851","4.99925718409597","5.550064191588993","5.495270998683046","5.293586146409521","5.0301470842057565","5.802678003440467","6.438294200870939","6.894887664738514","6.832071984289408","7.102205043992951",""
