Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,BGR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0.025897967,0.015333847,0.003792873,0.016104596,0.013105552,0.017606812,0.015984379,0.005900103,0.000605081,0.000661583,0.001473099,0.00156901,0.001012317,0.009360434,0.007504314,0.00319604,0.005005749,0.005434763,0.00126133,0.000724267,0.011846437,0.001398522,0.000515083,0.002458985,0.042543766,0.071231126,0.114621736,0.065667434,0.024380702,0.002060133,0.011078665,0.094839486,0.099152304,0.064776209,0.030724055,0.014606218,0.005627684,0.005971496,0.006223053,,
Bahrain,BHR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.9818452,0.824339975,0.228076592,1.736027486,1.568811977,2.170520419,2.643319045,1.631783655,1.451601095,1.464161432,1.768488623,1.399800948,1.329759587,1.671125575,1.234340219,1.398084003,1.807531157,2.189761231,1.838070861,1.584279103,2.207731103,2.796712541,2.197656626,2.008402331,1.768915794,2.520945122,2.997259667,3.012434202,3.207016979,3.430671444,2.604539011,3.852595363,4.072862678,4.256223518,4.016335572,2.681352853,1.379944775,1.420372457,1.971861618,1.648309509,
"Bahamas, The",BHS,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bosnia and Herzegovina,BIH,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.656514367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Belarus,BLR,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029104886,0.028903978,0.021179583,0.025651033,0.023601775,0.02297448,0.025594671,0.026537834,0.010339369,0.010186635,0.052192548,0.100395133,0.063060897,0.05838766,0.038221727,0.028161557,0.041666991,0.032681073,0.036806093,0.038658936,0.026402426,0.040585667,0.038496602,0.036138099,0.022135617,0.022325966,0.015702094,0.018846696,0.026359816,0.026656591,
Belize,BLZ,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bermuda,BMU,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Bolivia,BOL,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.003785335,0.004135927,0.076612287,0.130642465,0.173082279,0.332214265,0.260922264,0.090157826,0.098161866,0.383108648,0.846777887,0.560053391,0.259314709,0.684443864,0.495774496,0.582642463,0.736596315,0.50967989,0.514659346,0.669654462,0.787617611,0.689938409,0.518601619,0.578008821,0.508943319,0.449261746,0.491799149,0.419051789,0.342615472,0.334319516,0.699432156,1.085039427,1.382688294,1.532830931,2.10023804,3.099258317,3.439180462,3.400239327,3.203359242,2.851735379,2.478230553,3.432938402,3.979056652,4.186042706,2.959768796,1.787331351,1.036397856,1.272986499,1.838280457,1.179229166,
Brazil,BRA,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,0.000176847,0.000283955,0.000258885,0.000243278,0.000741069,0.001530901,0.001236927,0.000516089,0.000766534,0.003146314,0.006494338,0.004184644,0.002374881,0.011872482,0.011513332,0.013996134,0.012387513,0.009114176,0.00829235,0.008353902,0.008323735,0.006413865,0.009560744,0.011629642,0.008486561,0.006738765,0.007954837,0.009033964,0.008121092,0.01623445,0.022125868,0.02734407,0.035137493,0.034249923,0.033216207,0.032105944,0.032796349,0.027643822,0.032881218,0.030579685,0.02408433,0.036087067,0.050612904,0.05827154,0.045790853,0.039828033,0.025140838,0.034493832,0.058035473,0.045273205,
Barbados,BRB,Natural gas rents (% of GDP),NY.GDP.NGAS.RT.ZS,,,,,,,,,,,,,,,9.06E-05,0.000481503,0.00064539,0.000307493,0.000455931,0.001714918,0.002101623,0.001531916,0.000605668,0.001521703,0.000972582,0.000776383,0.000523657,0.000230345,0.000260497,0.007967579,0.015959489,0.012416472,0.010799512,0.015948585,0.009655605,0.010967541,0.013582613,0.01391298,0.010371452,0.011719302,0.016800937,0.017393026,0.015908215,0.012471307,0.010075638,0.00965094,0.00890389,0.006971062,0.006720307,0.006180612,0.004723202,0.006034403,0.006200432,0.005634501,0.003685541,0.002131761,0.001221258,0.001574842,0.00245931,0.001672735,
