Report generated on: 11-03-2021 14:17:58,,,,,energy consumption per capita (MMBtu/person),,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
        Bosnia and Herzegovina,BIH,--,--,35.13697884,26.34414403,28.71585492,48.9498256,30.9712953,44.51515565,52.59668081,53.22569284,58.82849118,58.45776194,58.69407854,51.17154897,52.82057791,48.79516926,49.87215368,47.67269369,54.02225935,65.2738677,70.44900344,69.08419059,68.25152031,70.52542244,69.4593911,70.63373196,73.14265448,73.33672588,75.1158908,
        Botswana,BWA,23.7367754,24.10412898,28.44063749,26.89480088,26.11978669,25.80287341,23.86926989,24.03076159,25.18377845,23.31675739,29.7935528,30.73386104,31.68438498,31.83105304,30.79695326,32.12307504,33.62716232,33.80064323,34.42323922,31.56641176,31.97049062,33.0634775,32.29006152,31.69652655,31.43781714,37.72702776,40.78244066,36.72093688,35.08315233,
        Brazil,BRA,41.48559609,40.28191075,40.34886538,41.18335747,42.51111592,44.44879389,46.48755216,48.09493771,48.87909251,49.2157946,49.89822939,47.99756997,48.27774469,48.44702358,49.98764285,50.95931517,51.70907124,54.37121267,56.27951773,55.1749827,59.9024496,61.63368007,62.46395468,63.80067392,64.81358028,63.36387193,61.68853674,61.8804943,61.09785961,
        British Virgin Islands,VGB,37.78214155,36.69527814,35.92031917,35.1792511,34.65344417,34.22447162,43.8147553,43.36248085,43.01243055,42.57081294,73.48667506,73.8943347,76.48750284,79.65268986,81.26897711,80.79288453,84.65805012,84.15988523,86.80390489,87.82149251,88.02277238,88.47818915,87.15258205,86.56166763,87.53226445,87.39500058,87.93382293,82.03731079,101.1048139,
        Brunei,BRN,271.0580288,210.5253041,200.0882747,184.9138237,172.9500939,208.3908865,189.294934,197.6725119,174.7662218,201.7264937,201.3884447,224.3468822,256.8778447,260.8498485,284.7187803,315.7525821,479.8475346,497.4165525,504.8830153,331.0327041,372.4658398,377.6870792,362.2617958,332.4060858,368.947221,402.6552399,415.6927873,412.7673608,424.9729347,
        Bulgaria,BGR,137.9234539,109.9193882,107.7317975,104.658902,107.2851684,118.6742197,119.5157901,109.811894,99.76467154,92.13259781,92.6006556,94.95374889,98.20407188,100.4794643,100.1821806,105.6470484,109.0578662,104.8394435,103.7175067,94.66660218,97.37681181,105.1764875,102.7280285,97.24481258,103.6942305,109.8287354,105.8349245,107.5387104,108.0584938,
        Burkina Faso,BFA,0.789585953,0.889356308,0.875559757,0.945549241,1.026092413,1.020752858,1.056125095,1.621377738,1.416242605,1.417814309,1.251955638,1.351988387,1.376302447,1.479503638,1.294191042,1.334275418,1.276875073,1.755260959,1.859768912,1.695135425,1.795278361,1.984418126,2.270703153,2.642562564,2.388995674,2.948483104,2.411269496,2.89215578,2.295763177,
        Burma,MMR,2.073879024,2.026279713,2.093446037,2.211542365,2.557968643,2.68110454,2.674904835,2.813067405,3.076975219,3.08084498,3.509230887,3.204477913,3.681744951,4.11176384,4.275104448,5.46511971,5.122039083,5.492596894,5.011296654,4.586083296,4.619096417,5.015735431,5.896264733,6.771152398,7.854830521,7.271807263,8.307649574,10.92715966,11.52419158,
        Burundi,BDI,0.998045492,1.099922732,0.994671975,1.093147784,1.125738437,1.070777131,1.102005102,1.091089051,1.092519111,1.062491491,0.883861759,0.735705113,0.677464332,0.532736109,0.595010395,0.499751566,0.560585509,0.848873101,0.540259357,0.527973416,0.586003936,0.62471596,0.567384564,0.617223942,0.519231892,0.696678518,0.786688923,0.868024617,0.71539155,
        Cabo Verde,CPV,3.471655531,3.388671664,3.904866091,3.842262002,4.444677121,4.24299416,4.674283363,4.560746053,4.493815881,4.409525372,10.88794978,11.91093401,12.73232229,12.45917157,13.42452875,20.647819,21.65269216,23.83228203,23.86253871,22.33226202,23.61968884,27.75781169,24.58994118,23.89300445,25.44424315,24.82975004,25.62071318,26.86002246,26.8725686,
