,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
26,Cameroon,CMR,136.74,136.43,136.38,140.56,196.99,197.04,191.95,192.8,196.63,195.88,197.55,196.88,195.3,203.03,199.67,206.77,197.71,202.39,204.65,202.27,201.34,200.89,199.12,208.97,202.92,207.73,208.94999999999996,210.23,197.961571945548,197.250416650176,197.18055563449855,197.17348193705078,197.17276884496206,197.17270281791681,197.17268961250778,197.17268521070474,197.17268521070474,197.17268521070474,197.17268521070474,197.17268521070474,197.17268521070474
27,Canada,CAN,652.57,648.5,664.43,662.45,683.03,698.44,693.09,689.92,798.91,733.18,718.46,890.59,981.61,1001.53,961.03,970.63,880.97,892.54,875.8299999999999,798.91,881.05,758.1,794.68,861.92,827.61,868.8400000000001,779.08,792.95,837.0230628961324,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252,837.0312483227252
28,Cape Verde,CPV,-0.1699999999999999,-0.15,-0.12,-0.1099999999999999,-0.1299999999999999,-0.09,-0.11,-0.0899999999999999,-0.0599999999999999,-0.0300000000000001,0.0,0.4299999999999997,0.4700000000000001,0.5000000000000003,0.5400000000000001,0.6399999999999997,0.6299999999999996,0.5900000000000006,0.6100000000000005,0.6600000000000009,0.6999999999999994,0.5899999999999943,0.5599999999999996,0.5499999999999974,0.5499999999999986,0.56,0.5999999999999973,0.6299999999999998,0.6582820224761957,0.6678298604488367,0.6711216300725932,0.6722451949119562,0.6726264405250544,0.6727554064989084,0.6727991211414331,0.6728139519691462,0.6728189301490778,0.6728205895423883,0.6728211599588388,0.6728212636709208,0.6728212636709208
29,Central African Republic,CAF,52.27999999999999,53.03999999999999,53.52,54.0,56.94,57.51,58.71999999999999,62.39,67.98,64.63,66.24,60.89,57.14,64.8,59.66,61.92,60.35,61.96999999999999,64.74,58.07999999999999,62.11,66.47000000000001,63.84999999999999,67.22,67.55,70.72,75.62,76.04,65.54336028575896,63.55540026187896,62.7221221423149,62.315658879280086,62.1058564043045,61.99439813137054,61.93431132793426,61.901664230823506,61.883855435848226,61.874117600917806,61.868789832592,61.86587032318114,61.86427142620086
30,Chad,TCD,25.24,25.52,25.77,26.09,26.31,26.72,29.33,30.98,34.77,35.72,35.05,30.77,34.61,36.56,37.84,39.92,57.34,57.98,57.59000000000001,55.87,57.400000000000006,57.51,58.26999999999999,57.44999999999999,56.95,97.42,102.57,106.71999999999996,88.61212997913358,81.26344446182249,76.88898105621335,74.00910299301145,72.00976776361463,70.57271354436872,69.51527926206587,68.72424817323683,68.12537278413771,67.66799889802931,67.31638689517973,67.04474344491958,66.83406472444533
31,Chile,CHL,35.53,34.8,37.14,38.5,42.03,45.49000000000001,51.65,58.95999999999999,60.16,62.96999999999999,59.27000000000001,62.73,63.74,64.64,70.05,70.91,71.44,79.83,84.56,81.8,86.46999999999998,-4.710000000000002,-2.579999999999996,0.2599999999999988,-5.809999999999994,0.3600000000000036,3.620000000000004,4.630000000000001,57.28128828287123,57.353353431224804,57.35356794357298,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896,57.3535734438896
32,China,CHN,2901.74,3051.31,3182.64,3405.76,3556.72,3946.170000000001,3980.460000000001,3989.5,4128.98,4079.23,4276.11,4452.24,4763.01,5385.86,6132.29,6857.63,7485.37,8104.469999999999,8398.829999999998,8992.51,9828.01,10784.95,11110.34,11568.63,11583.36,11578.25,11577.979999999998,11780.99,7475.762417515515,6526.169896391927,5993.502465193867,5611.877192361056,5299.935431411265,5020.542739046513,4752.502739043682,4480.869697844385,4192.997978670299,3876.7860742879657,3520.244214217886,3112.7449861264413,2648.7306607656737
33,Colombia,COL,273.46,275.22,278.88,282.9,284.99,288.01,285.3,290.34,292.06,281.75,286.06,309.75,308.78,318.22,319.56,315.33,309.99,317.95,316.82,320.7600000000001,325.18,182.62,181.2,188.01,195.2,195.22,222.63999999999996,216.67,302.9234690403938,306.1508468496799,306.25765688776966,306.26120978474614,306.26134709477424,306.26134709477424,306.26135567665096,306.26134709477424,306.26135567665096,306.26134709477424,306.26134709477424,306.26135567665096,306.26134709477424
34,Comoros,COM,0.3299999999999999,0.3400000000000001,0.3399999999999998,0.3499999999999997,0.3500000000000002,0.36,0.3599999999999998,0.37,0.3899999999999999,0.4000000000000001,0.38,0.4299999999999997,0.4300000000000004,0.4500000000000005,0.4700000000000003,0.53,0.4900000000000005,0.4399999999999991,0.4599999999999998,0.469999999999999,0.5100000000000007,0.5100000000000089,0.5300000000000034,0.5499999999999974,0.5600000000000025,0.5799999999999996,0.6099999999999971,0.6599999999999954,0.5900919628143274,0.5600053471326796,0.5400425612926454,0.5252858287095996,0.5137530308961842,0.5043995386362051,0.4966215169429755,0.4900402781367279,0.4844030490517594,0.47953200727700973,0.47529676347970756,0.4715981635451297,0.4683581194281558
35,Costa Rica,CRI,15.28,15.55,16.65,16.71,17.100000000000005,16.67,16.52,16.61,17.36,17.18,17.04,3.569999999999999,3.560000000000001,4.98,3.93,4.509999999999999,4.809999999999999,6.22,6.359999999999999,5.940000000000001,6.2,3.009999999999994,3.0700000000000043,3.630000000000003,3.599999999999996,3.490000000000003,4.590000000000003,4.759999999999995,4.042468223571771,3.4912283182516632,3.0390139630436837,2.689365221317851,2.433708806559437,2.2544607798010046,2.1325490406155523,2.0513626108318506,1.9980598299205239,1.9633911954611476,1.9409838823974068,1.9265558047592577,1.9172919756174023
36,Côte d'Ivoire,CIV,5.09,10.81,16.4,22.09,27.93,27.67,26.94,27.78,27.82,29.059999999999995,28.23,24.15,23.03,20.2,17.89,18.56,31.33,30.86,29.4,27.71,26.15,25.040000000000003,26.74,27.53000000000001,27.300000000000008,28.570000000000007,30.200000000000003,31.55999999999999,31.947955557107917,31.95276764869689,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425,31.95284653544425
37,Croatia,HRV,17.1,10.589999999999998,11.62,12.5,12.590000000000002,13.87,13.2,14.69,15.05,14.66,13.76,14.53,15.529999999999998,16.63,16.39,16.29,19.05,20.67,19.74,17.17,16.61,22.11,20.14000000000001,18.99999999999999,18.27,18.870000000000008,18.9,19.550000000000008,17.844333572387697,17.33046936035156,17.100217208862304,16.98873550415039,16.93323600769043,16.905194778442382,16.89092903137207,16.883641662597658,16.87991386413574,16.878004302978514,16.877025146484375,16.87652389526367,16.876268463134764
38,Cyprus,CYP,5.35,5.869999999999999,6.29,6.559999999999999,6.81,6.7,7.09,7.17,7.499999999999999,7.77,8.04,7.909999999999999,8.14,8.800000000000002,8.749999999999998,8.890000000000002,8.719999999999999,9.05,9.240000000000002,9.06,8.749999999999996,8.579999999999995,8.069999999999997,7.400000000000006,7.780000000000001,7.840000000000001,8.229999999999997,8.370000000000001,8.994302258491519,9.190961636304857,9.248283504247668,9.264191097021106,9.26848286390305,9.26963846445084,9.269948695898059,9.270031702518466,9.270054888725284,9.270060917139055,9.270062308311465,9.270062308311465,9.270062308311465
39,Czech Republic,CZE,169.71,152.99,148.54,143.83,136.55,136.52,138.14,135.64,129.01,120.91,131.55,131.51,125.89,130.23,130.78,127.71999999999998,134.19,137.17,132.11,124.47,127.55,119.21,115.81000000000002,110.52,107.79999999999998,109.72000000000004,111.53,111.57,129.12498787403106,133.86828376591205,135.27296619951727,135.66730387330057,135.77542449355127,135.80489013016225,135.81290138840677,135.81508225142957,135.81568005144598,135.81584979712963,135.81589038848878,135.8158977687359,135.8158977687359
40,Democratic Republic of the Congo,COD,203.63,202.53,202.92,203.3,203.63,203.61,210.13,216.1,218.25,210.66,206.71,196.32,197.7,203.93,208.27,210.94,209.12,207.98,210.07,210.81,211.73,214.73,214.31,222.94,219.12,219.91,224.74,224.39,215.04413964986801,208.6455836224556,204.2072480148077,201.47021889865397,199.94261571109294,199.14308418154715,198.73959783658384,198.53983437865972,198.44188980340957,198.39409714996813,198.37083775371312,198.35952757954595,198.35401774987577
41,Denmark,DNK,68.22,78.84,72.64,75.21,78.91,75.82,89.29,79.61999999999999,75.57,72.73,68.52,70.87,70.34,76.12,69.72,65.85,72.89,68.1,64.61000000000001,61.78999999999999,62.22,55.420000000000016,50.35,51.88999999999999,47.64,45.56000000000001,47.28,45.11000000000001,71.26906070351602,72.44948127985002,72.48948161125185,72.49084831118584,72.49090097784998,72.49090361118317,72.49090361118317,72.49090361118317,72.49090361118317,72.49090361118317,72.49090361118317,72.49090361118317,72.49090361118317
