,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
22,Barbados,BRB,18.94217652,18.48372623,16.98044176,15.11609015,15.11254959,16.03426018,16.80691101,16.40233393,12.13985672,12.81090636,14.31879997,12.56480026,11.29870033,9.947799683,9.929900169,9.907099724,9.903100014,9.710599899,8.628600121,9.402000427,9.077500342999999,4.658899784,4.209499836,3.508699894,3.4335999489999995,3.1782999039999997,3.501699924,5.161099911,5.835599899
23,Bhutan,BTN,95.89885217,95.91993814,95.28749205,95.85807466,95.29096375,94.37174975,93.24002063,91.35006424,91.53147094,91.56562294,91.39810181,91.74849701,91.20079803,91.91670227,93.45649719,91.66699982,91.92310333,92.07219696,91.80909729,92.38289642,90.79859924,89.01470184,87.31569672,86.69529724,86.54250336,86.68099976,84.9516983,83.55519867,81.09359741
24,Botswana,BWA,47.58463784,48.0827464,44.7082734,45.88542832,48.27315242,47.17403519,44.68880765,43.99899594,37.39760141,39.83467004,36.5603981,35.67139816,34.25490189,34.23410034,32.12789917,30.76919937,29.441400530000003,27.802700039999998,27.337699890000003,28.44790077,30.301399229999998,29.97909927,29.60810089,28.781799319999998,28.14719963,28.22800064,28.11300087,28.36680031,28.19890022
25,Central African Republic,CAF,93.49428096,93.75224827,94.1078509,93.81461505,93.18763868,93.04622541,91.66483327,91.85804071,89.01755746,85.40948207,85.0734024,84.86029816,85.03759766,86.07389832,86.36799622,86.5562973,86.03900146,82.32279968,86.88569641,87.11940002,86.55139923,85.15650177,84.88819885,89.22669983,88.39330292,84.23459625,82.55989838,81.37940216,80.94850159
26,Canada,CAN,22.02075369,22.19784052,21.92998463,21.80305888,21.69269302,21.92357632,21.57923752,21.31115038,21.52403671,21.70508086,22.03809929,21.527200699999998,21.76729965,21.18059921,21.57909966,21.99230003,21.91500092,21.84149933,21.90819931,22.5,21.87610054,21.84410095,22.1692009,22.39800072,22.41679955,22.64220047,22.33300018,22.76989937,22.18289948
27,Switzerland,CHE,17.12391004,17.47275048,17.29862548,18.3554219,18.69457381,18.06594965,17.11697875,17.8231175,17.50425118,18.80686907,18.19169998,18.72319984,18.18720055,18.02960014,18.10009956,18.72949982,18.06669998,19.30900002,19.54920006,19.97310066,20.56419945,20.56609917,21.88870049,21.83839989,22.21179962,23.95739937,24.11039925,25.00379944,24.203100199999998
28,Chile,CHL,34.02687057,37.27277893,38.61766187,35.77039777,34.81768392,34.16752513,32.2306623,29.953558100000002,29.745206579999998,29.05420071,31.36330032,32.1473999,33.070598600000004,31.615100859999995,31.43560028,32.26319885,32.90829849,30.46479988,30.82929993,31.52700043,27.044200899999993,28.791799549999997,30.30500031,30.22970009,26.94610023,25.065099720000003,24.554399490000005,24.10740089,25.46069908
29,China,CHN,34.08361405,33.25847354,32.9312779,31.6777918,31.249484169999995,29.47211139,30.537175460000004,30.18348168,29.739901479999997,30.506048979999996,29.60300064,28.334999080000003,26.97839928,23.84149933,20.16080093,17.44079971,16.38509941,14.883700369999998,14.13780022,13.431900019999999,12.26130009,11.33819962,11.53670025,11.52200031,12.06140041,12.24530029,12.58969975,12.863599779999998,13.12380028
30,Cote d'Ivoire,CIV,73.58234924,74.01566246,74.55874065,75.12672124,75.60651750000001,74.88260302,74.04172890000001,72.13514374,73.44730424,61.93084644,63.71760178,64.72789764,65.32279968,70.32170105,75.40010071,77.91940308,74.78720093,76.33039856,74.20999908,73.56809998,75.33779907,78.9539032,74.77749634,72.44680023,72.16349792,64.83360291,64.27839661,62.68849945,63.53260039999999
31,Cameroon,CMR,81.59313508,83.18955405,84.43451203,83.93664356,83.60941782,84.47740331,84.93784566,84.57694782,84.37656838,86.12991655,84.48490143,85.19779968,85.16660309,85.21160126,85.44239807,86.22319794,85.42720032,80.71640015,80.71700287,79.09690094,78.60759735,78.45809937,78.43060303,77.43910217,76.42849731,78.03559875,78.90219879,80.3404007,80.63030243
