,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
40,Germany,DEU,89.59051862,94.08441927,90.72488798,91.75701497,94.63847163,92.36304094,98.52626246000001,94.36666382,92.6766256,90.89289458,88.28005040000001,88.2707013,87.98990847,89.67967719,85.47478824,82.18730305,86.63662222,82.03661355,80.13136834,79.57580426,78.27422571,74.82227821,70.86237066,70.25938711,67.70455812,64.92708947
41,Djibouti,DJI,76.45631322,76.17839989,78.78107052,81.03756104,83.56493018,84.91800504,85.56770281,87.17742176,85.26174313,85.30557383,87.14808017,87.70129559,88.26308159,85.49507746,86.62648881,86.42435374,85.40245101,86.89827457,87.11289573,84.87242119,85.40274143,86.48453225,84.82242766,86.76671153,86.56359598,84.87963325388317
42,Dominica,DMA,99.93829643,99.85907503638335,99.8573887011485,99.85809322104534,99.81020183147663,99.87245928999998,99.8415349,99.76407728,99.71309035000002,99.74449240000003,99.81505213,99.77568248,99.74042914,99.73160645999998,99.73793913,99.61031383,99.74001863,99.75208391,99.82113635000002,99.81061945999998,99.84783479,99.88747563000001,99.85891737,99.910365,99.97791672,97.32965075012845
43,Denmark,DNK,78.20974884,78.64847381,81.81159194,79.68356687,80.38830216,84.11476233,83.41052993,85.75095066,84.96531851,83.15629009999999,84.10732733,85.86363431,85.43973825,85.23795390000001,83.95550578,84.88932983,84.94441186,85.5949458,83.14892818,87.01507558,87.84865451,86.24184617,86.06629324,86.77054519,86.88466036,85.3459266760682
44,Dominican Republic,DOM,94.07344273,93.88800278,94.04718146,93.96157783999999,93.38439842,93.81627817,94.07725083,94.15809928,94.44745481,94.01790377,93.88155107,94.22360415,94.87049143,94.97358,96.81736276,96.23115195,96.28099188,96.04047938,96.16210914,96.40166314,97.21176113,96.7923892,96.81680023,98.46009119000001,97.92892979000001,95.37449577741351
45,Algeria,DZA,77.38649914,77.95235701,79.25417767,77.69169529999998,78.59018687,79.60094521,77.85351034,80.06129405,79.52609681,80.97590441,80.63494269,79.84999602,81.46071287,80.82302302,81.83202563,83.46681240000001,82.50958877,83.18621648,81.80831582,79.71021292,76.00086331,76.50008869,75.00814840000001,72.55135063,71.53112185,72.95554612
46,Ecuador,ECU,43.73658072,43.02973220999999,31.773622119999995,31.65620666,31.37207382,28.00473057,27.97456242,27.518034019999998,31.240864309999996,32.207305600000005,28.65162331,31.87495347,29.587055829999997,28.306890050000003,29.245858489999996,30.284703680000003,31.41138672,28.598664810000002,28.072019209999997,23.28809432,20.57485777,18.87797812,19.55974938,17.198629749999995,14.49029111,13.05621534
47,"Egypt, Arab Rep.",EGY,3.5503313600000004,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.2256704279999995,3.4270885479999995,4.132048222,4.186229952,4.398835500000001,4.474102441,4.093588189,4.247062388,4.648887741,4.9052884269999995,4.8568016819999995,4.579117972,4.573411803,5.007566884,5.78827082,6.56980663,12.771184155593318
48,Spain,ESP,55.47017689,56.56220558,53.92849134,54.805454969999985,56.88474415,52.946457200000005,55.652157560000006,53.265429309999995,51.49752183,50.79324858,49.78670138,50.33441953,51.34684724,54.42239575,53.33484351999999,49.1854771,51.70609551999999,49.82068829,47.718622360000005,48.47891187,48.80002881,46.98862802,43.03336372,42.62672305,42.18252679,40.20798298999999
49,Estonia,EST,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
50,Ethiopia,ETH,58.15395849,57.94478445000001,56.15970578,54.19402551,53.31348302999999,53.573821980000005,53.84750116,52.90067538000001,54.79426486999999,54.01870150999999,52.80593885,53.40057812999999,52.81353407,52.69399252,52.415038540000005,52.29710794,51.89245198,51.68550600999999,50.8434655,50.85168259000001,49.83637832,48.67698651,49.01202707,48.54358131000001,46.22592306,46.48797087
51,Finland,FIN,32.01095306,31.89974999,34.47956965,36.75772049,28.369837520000004,32.61049644,34.51410634,34.23558004,36.77855125,33.55452859,32.43088502,35.18227720000001,28.07896353,23.57891739,20.96227187,20.376564000000002,18.70251161,18.20739896,17.11377036,16.4621275,18.90264227,26.22884402,30.694688869999997,22.059600389999996,22.78651631,30.15686796426237
52,Fiji,FJI,90.65258583,90.19917459999999,89.21274479,87.79016543,87.79003822,87.71102814,87.56976162,86.71951891,86.77063541,87.23515523,88.41036373,87.82897536,88.53442838,88.82498255,88.61973186,88.15744775,88.6059099,89.61975501,90.17869547,87.36773537,88.16810568,85.56318573,85.13981223,83.5597408,82.7165785,80.35177127
53,France,FRA,88.84092501,87.17870041,84.56582791,77.98328005,80.45060381,68.2929448,60.538521190000004,59.865221999999996,59.13704991000001,55.695967339999996,59.01220076,55.090437,49.589475220000004,52.14468848,53.77327276,64.41339158,70.40866076,70.69078883,66.78923596,66.99368733,64.70334463,72.76506637,74.46282328,68.93449555,72.20953534,72.12336474917261
54,Gabon,GAB,18.2359664,16.5625589,16.08869506,17.40874908,17.61105115,18.78593182,19.3233444,20.49129177,26.621831329999996,25.87802464,28.35021093,32.17571931,36.02899109,36.76213635,36.9201097,37.602505,43.03432272,45.75724713,42.95207948000001,46.00239359,49.67778841,49.82103972,52.6160022,52.497593439999996,52.54306013000001,54.77751637002728
55,United Kingdom,GBR,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
56,Georgia,GEO,0.0,3.400891522,2.244968,2.736625394,3.04826749,3.3432463539999997,3.51351176,3.311723269,3.3251111780000002,3.086504486,2.036553247,1.6397332910000002,1.7145850840000003,2.0152866609999998,0.0,0.0,0.0,0.0,3.0674861810000005,2.742569362,3.078211005,3.691647321,2.87171647,4.17663824,5.355814142,11.28886875
