,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
64,Guinea-Bissau,GNB,1.89737,1.99414,2.01607,2.05841,2.12428,2.21775,2.47501,2.63588,1.8951999999999998,1.91464,2.01854,2.06273,2.0424,2.05402,2.11074,2.20078,2.25161,2.32507,2.39956,2.4804,2.59477,2.80455,2.75652,2.8462700000000005,2.8737199999999996,3.05,3.24102,3.43286,3.56331,3.7272199999999995,3.64138
65,Guyana,GUY,2.1692,2.29902,2.47906,2.68269,2.91134,3.05651,3.2974699999999997,3.5028,3.4429599999999994,3.54521,3.4964,3.87906,4.25314,4.5684,5.12013,5.44678,6.21308,6.65988,6.77678,7.02152,7.3121,7.69206,8.09792,8.39376,8.53532,8.594,8.92121,9.25437,9.66535,10.1827,14.1688
66,Haiti,HTI,25.7369,25.102,24.5044,23.5852,21.018,23.1285,24.0057,24.7048,25.2009,25.919899999999995,26.0732,25.8166,25.8076,25.8929,24.9485,25.4261,25.9718,26.8502,27.0901,27.9206,26.377,27.8367,28.6352,29.8403,30.6873,31.053,31.5094,31.8722,32.3471,31.9604,28.858899999999995
67,Honduras,HND,17.8264,18.4434,19.4961,20.6559,20.4142,21.2449,21.9956,23.1086,23.7824,23.3189,24.6611,25.3327,26.2837,27.4789,29.1914,30.9578,32.9907,35.0323,36.5148,35.627,36.9561,38.3737,39.958,41.0735,42.3295,43.955,45.6662,47.8777,49.7186,51.037699999999994,46.4623
68,Hungary,HUN,157.22024825317837,165.7885,160.7085,159.7827,164.4916,167.1556,167.2571,172.5378,179.1899,184.5108,193.124,201.0375,210.5587,218.9698,229.6373,239.5715,249.398,250.1804,252.3939,235.707,238.1383,242.5904,239.9071,244.2916,254.3907,263.6871,269.3823,281.2597,296.4319,309.9257,294.9464
69,Iceland,ISL,8.35585,8.33717,8.05589,8.1617,8.45624,8.49897,8.88713,9.40005,10.0922,10.4994,11.0228,11.4652,11.5293,11.7764,12.6952,13.4727,14.3238,15.5348,15.8781,14.6612,14.2459,14.5088,14.6632,15.3307,15.5893,16.281,17.3073,18.0333,18.9156,19.3761,18.1159
70,India,IND,1597.19,1630.674,1703.284,1784.54,1895.4300000000003,2036.367,2188.785,2292.615,2427.432,2627.078,2779.9,2876.448,3008.867,3202.75,3452.771,3726.931,4031.063,4352.62,4575.85,4786.61,5222.79,5583.18,5867.08,6227.78,6663.89,7163.91,7807.78,8282.23,8887.68,9315.25,8635.55
71,Indonesia,IDN,790.8549999999999,861.464,917.655,990.662,1065.357,1152.932,1243.068,1301.491,1130.648,1139.593,1196.328,1239.916,1295.705,1357.645,1425.948,1507.121,1590.027,1690.914,1816.748,1902.167,2023.48,2148.324,2277.869,2404.456,2524.841,2647.958,2781.232,2922.2349999999997,3073.4400000000005,3227.6710000000003,3160.8710000000005
72,Ireland,IRL,94.0347,95.88691,99.1563,101.7157,107.36679999999998,114.2172,122.27480000000001,135.2893,147.2945,162.15,176.1624,186.2725,197.2449,204.257,217.338,230.1117,241.7566,254.5944,242.9461,230.6006,233.5855,235.706,235.3634,239.09340000000003,259.3619,325.1316,332.8056,363.2442,396.56140000000005,416.805,441.15200000000004
73,Israel,ISR,103.125,109.41,117.238,121.659,130.189,138.763,147.125,152.927,159.317,165.041,179.903,179.619,179.293,181.333,190.176,198.065,209.159,222.024,229.745,232.154,244.979,258.903,266.3,279.01,291.182,297.271,310.537,324.09400000000005,337.419,349.804,342.523
74,Italy,ITA,1895.124,1933.172,1946.693,1929.991,1974.019,2029.7270000000003,2056.809,2096.841,2131.306,2164.811,2252.731,2292.686,2298.407,2303.578,2331.658,2355.07,2399.39,2431.579,2408.102,2280.068,2318.155,2337.799,2267.336,2225.184,2226.7859999999996,2241.418,2272.892,2312.327,2330.865,2340.366,2129.768
75,Jamaica,JAM,20.2231,20.3999,22.5073,22.950099999999996,23.1549,23.3932,23.4666,23.2356,22.9506,23.1776,23.3378,23.6367,23.7962,24.6687,24.9953,25.2187,25.9498,26.3245,26.1109,24.9762,24.6123,25.0382,24.8845,25.0134,25.1859,25.418,25.7676,26.024500000000003,26.5163,26.7529,24.056999999999995
76,Japan,JPN,4119.38,4259.98,4298.71,4274.14,4315.77,4428.83,4568.53,4614.78,4553.94,4542.74,4666.28,4684.88,4685.12,4758.89,4861.38,4950.1,5016.68,5090.79,5027.35,4741.98,4936.48,4938.2,5005.86,5108.12,5119.13,5200.86,5238.5,5327.92,5357.42,5358.98,5109.16
77,Jordan,JOR,29.294607820822556,29.30137049771763,29.9149,31.217799999999997,32.7791,34.7307,35.3933,36.7189,37.8967,39.1227,40.7663,42.799,45.6204,47.4366,51.3788,55.0884,60.648,65.7261,70.7264,75.0958,76.7606,78.7076,80.8453,83.1388,85.7227,87.705,89.335,91.1995,92.9634,94.7813,93.3109
78,Kazakhstan,KAZ,149.88410264370268,149.75961228306306,176.73100000000002,160.471,141.271,129.767,130.67,132.539,130.701,133.287,146.306,165.994,182.226,199.055,218.112,239.184,264.753,288.388,298.104,301.327,323.45,347.678,365.131,386.572,403.088,407.416,411.053,427.332,444.868,464.79,453.04
79,Kenya,KEN,67.4842,68.45491,67.9075,68.1473,69.9416,73.0233,75.21591,75.4192,77.94991,79.591,79.9988,83.5641,84.0294,86.5041,90.9183,96.2825,102.3632,109.3758,109.6297,113.471,122.9284,130.6444,136.3435,144.8205,152.3972,161.007,170.4528,178.58920000000003,189.848,200.0442,199.3372
