,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
30,Chile,CHL,13211.2,13428.65,13652.55,13874.38,14092.9,14306.58,14514.58,14716.77,14913.15,15104.15,15289.98,15469.88,15645.35,15815.4,15980.65,16144.88,16306.97,16472.78,16645.3,16825.97,17009.17,17193.88,17383.87,17567.98,17738.22,17915.95,18102.75,18312.55,18584.62,18922.75
31,China,CHN,1178835,1194030,1207420,1219575,1231055,1242310,1253222,1263498,1273252,1282608,1291648,1300265,1308412,1316265,1323998,1331752,1339482,1347098,1354648,1362188,1369778,1377488,1385268,1392988,1400508,1407740,1414805,1421755,1428392,1434512
32,Colombia,COL,33102.6,33758.3,34422.6,35091.3,35759,36421.4,37076.4,37723.8,38364.3,38999.5,39630,40256,40875.4,41483.9,42075.9,42647.7,43200.9,43737.5,44255,44750.1,45222.7,45662.8,46075.7,46495.5,46967.7,47520.7,48175.1,48909.8,49567.5,50225.2
33,Comoros,COM,411.598,423.873,436.454,449.27,462.28,475.394,488.625,501.955,515.382,528.853,542.358,555.895,569.48,583.213,597.23,611.625,626.427,641.624,657.227,673.251,689.696,706.578,723.865,741.511,759.39,777.435,795.597,813.89,832.458,851.027
34,Congo-Brazzaville,COG,2356.74,2422.31,2489.95,2559.88,2632.34,2707.53,2785.81,2867.28,2951.65,3038.43,3127.42,3217.93,3310.38,3406.92,3510.47,3622.77,3745.14,3876.12,4011.49,4145.4,4273.74,4394.84,4510.2,4622.76,4736.96,4856.09,4981,5110.7,5246.5,5382.29
35,Congo-Kinshasa,COD,34612,35908.2,37333.9,38815.8,40253,41576.2,42757.2,43827.2,44850,45919.6,47105.8,48428.5,49871.7,51425.6,53068.9,54785.9,56578.1,58453.7,60411.2,62448.6,64563.9,66755.1,69020.8,71358.8,73767.5,76244.5,78789.1,81398.8,84119.6,86840.5
36,Costa Rica,CRI,3119.44,3202.08,3286.52,3372.3,3458.83,3545.52,3632.36,3718.95,3803.89,3885.43,3962.37,4034.07,4100.92,4164.05,4225.16,4285.5,4345.42,4404.63,4463.12,4520.74,4577.37,4633.09,4688,4742.11,4795.39,4847.81,4899.34,4949.96,4998.01,5046.06
37,Croatia,HRV,--,--,4570.805,4611.635,4653.74,4610.315,4551.08,4535.393,4530.968,4508.882,4371.28,4301.71,4305.425,4305.6,4308.935,4311.877,4313.14,4312.555,4310.61,4305.453,4294.728,4281.185,4267.33,4252.56,4233.377,4203.66,4167.885,4123.76,4087.215,4064.95
38,Cyprus,CYP,587.141,603.069,619.231,632.944,645.399,656.333,666.313,675.215,682.862,690.497,697.549,705.539,713.72,722.893,733.067,744.013,757.916,776.333,796.93,819.14,839.751,862.011,865.878,858,847.008,848.319,854.802,864.236,875.899,888.005
39,Czech Republic,CZE,--,--,--,10330.9,10333.5,10325.75,10313.7,10302.85,10293.2,10282.43,10249.3,10212.75,10195.85,10194.33,10197.55,10214.3,10242.73,10309.95,10394.9,10448.47,10477.48,10498.45,10512.12,10513.8,10528.58,10548.03,10569.45,10598.3,10634.9,10677.38
