,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
29,China,CHN,340.8739501,328.9665548,322.1899808,316.0913066,305.9066718,308.7279973,310.40301739999995,308.14806269999997,308.4933974,302.54193119999996,295.2242005,296.8031202,298.2286537,300.003016,302.3030508,304.1560662,305.67690510000006,306.6367053999999,307.65498019999995,306.5489632,307.4199583,315.7665691,378.91705579999996,385.1692217,389.3319336,1736.3708127809027
30,Cote d'Ivoire,CIV,334.05848760000003,339.3609081,326.1369227,319.2040252,267.7168076,297.17506569999995,272.16846780000003,253.04478140000003,246.0263764,235.2805658,226.9832642,247.2850559,242.1356366,277.65353700000003,286.1379167,299.9860604,378.77352080000003,325.0531523,336.0903326,371.3699522,392.3670567,508.037149,567.3612482999999,567.8609107000001,554.8094613,1896.3324425008418
31,Cameroon,CMR,731.7439622,725.3541704,727.6019905999999,746.6088434,758.5347657000001,757.7595097,762.5262677000001,727.1629002999999,748.7950453999999,658.7367551000001,651.3635831,638.5986709999999,616.6066097,620.3289798999999,617.8999677,635.0563175,658.9185258,646.7975362000001,669.2489829,686.1075296,689.9796936000001,684.4023860000001,684.6351032,723.8148163,724.0702792999999,2044.8580619505879
32,"Congo, Dem. Rep.",COD,43.35973414,144.80910286466468,149.379294708828,148.6446352954017,166.70981669523528,175.9847299366356,175.51171480204573,184.53347670562752,188.27701097654722,188.46463078935093,173.76977299255407,175.70880512627997,179.86761065806618,179.32379927475947,56.92949115,60.494584100000004,67.04691848,63.90035285,172.4784891561792,176.63082353741478,181.9701727621148,162.8968839269642,176.21759325287022,204.72156018803935,199.06981952532556,1579.4507578222278
33,"Congo, Rep.",COG,85.94722343,237.60867391641406,244.83458295049934,238.15968658957823,279.83104970232125,291.6917672366028,296.2116716416229,323.29186903244704,329.5298748209386,333.3318930885683,308.37209340130585,319.06908715777865,335.5694635898892,330.8112497075891,194.9108557,213.8071934,217.40474159999997,216.81152340000003,303.6003891025683,312.23461213566435,318.4389669145301,308.71283914254855,317.65091546651445,350.36504726032547,342.68924316920055,1699.0977544811567
34,Colombia,COL,537.7359882000001,555.8519251,699.2492070000001,695.3543252000001,667.9520727999998,664.9352818000001,651.8003029,644.7114671,626.6892891,676.569737,725.218676,716.5840289,741.5922566,783.8896383,915.2338991,902.0481605,962.5548365,1023.5720349999999,1027.4993539999998,1008.884609,1015.0142950000001,1004.7285980000001,1009.4571189999999,1021.261628,1023.010224,2316.268460805508
35,Comoros,COM,1780.6985510000002,1778.915391,1958.7976670000003,2056.483664,2298.339274,1981.3781069999998,2157.5416809999997,2071.933033,2174.762025,2145.322764,2265.4120479999997,2201.6997230000006,2193.6726689999996,2346.801709,2161.633396,2159.6048100000003,2207.926673,2292.235275,2388.578434,2299.783533,2195.327772,2105.249027,1961.8121199999998,1687.8296929999997,1712.1419219999998,3042.9302038777905
36,Cabo Verde,CPV,4796.941458,4349.236238,4222.416576,4089.408515,3963.314094,4019.8048789999993,4152.9382590000005,4184.884684000001,4057.4058270000005,3782.8892069999997,3988.038494,4111.152482,4163.450106,4357.572662,4460.2599310000005,4400.878113000001,4491.516134,4468.960352,4330.712691,4034.7435100000002,4237.896741,4077.356059,4054.0850179999998,3989.991414,3915.113582,3860.0029640000002
37,Costa Rica,CRI,4421.364531,4302.891175,4190.98422,4122.69574,4088.7981299999997,4119.688948,4246.553191,4203.3573670000005,4177.294129,4079.9333439999996,4094.06036,4209.796087,4108.401299,4084.5033459999995,4114.3899280000005,4086.503407,4204.654689,3985.8119549999997,4036.830781,3790.5011520000003,3997.079421,3869.816229,3876.948104,3939.529563,3779.461921,3817.549415
38,Cyprus,CYP,220.2882622,266.9637344312105,275.0297199649692,273.9404957104047,254.89553100010406,266.18625500097556,269.6055610899323,292.70510477097315,298.39324967548134,301.39853953172667,278.7014596158342,287.4679199964586,301.24782155555835,297.41859606508154,172.3693266,177.466141,179.97518099999996,177.53918280000002,271.1125537484116,278.63630735834613,284.6263412797834,272.58428436268434,282.60823771743566,314.2792245995474,307.1049190333484,1671.7981140858776
