,Country,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
34,Comoros,COM,0.32999999999999996,0.3400000000000001,0.33999999999999986,0.3499999999999997,0.35000000000000026,0.36,0.3599999999999998,0.37,0.38999999999999996,0.40000000000000013,0.38000000000000006,0.42999999999999977,0.4300000000000004,0.4500000000000005,0.4700000000000003,0.53,0.49000000000000055,0.43999999999999917,0.45999999999999985,0.46999999999999903,0.5100000000000007,0.5100000000000089,0.5300000000000034,0.5499999999999974,0.5600000000000025,0.5799999999999996,0.6099999999999971,0.6599999999999954
35,Costa Rica,CRI,15.28,15.55,16.65,16.71,17.100000000000005,16.67,16.52,16.61,17.36,17.18,17.04,3.569999999999999,3.560000000000001,4.98,3.9299999999999997,4.509999999999999,4.809999999999999,6.22,6.3599999999999985,5.940000000000001,6.2,3.009999999999994,3.0700000000000043,3.630000000000003,3.5999999999999956,3.490000000000003,4.590000000000003,4.759999999999995
36,Côte d'Ivoire,CIV,5.09,10.81,16.4,22.09,27.93,27.67,26.939999999999998,27.78,27.82,29.059999999999995,28.23,24.15,23.03,20.2,17.89,18.56,31.33,30.859999999999996,29.4,27.71,26.15,25.040000000000003,26.740000000000002,27.530000000000012,27.300000000000008,28.570000000000007,30.200000000000003,31.55999999999999
37,Croatia,HRV,17.1,10.589999999999998,11.62,12.5,12.590000000000002,13.87,13.200000000000001,14.69,15.05,14.66,13.76,14.530000000000001,15.529999999999998,16.63,16.39,16.29,19.05,20.669999999999998,19.74,17.17,16.61,22.109999999999996,20.14000000000001,18.99999999999999,18.27,18.870000000000008,18.900000000000002,19.550000000000008
38,Cyprus,CYP,5.35,5.869999999999999,6.29,6.559999999999999,6.81,6.7,7.09,7.17,7.499999999999999,7.77,8.04,7.909999999999999,8.14,8.800000000000002,8.749999999999998,8.890000000000002,8.719999999999999,9.049999999999999,9.240000000000002,9.06,8.749999999999996,8.579999999999995,8.069999999999997,7.400000000000006,7.780000000000001,7.840000000000001,8.229999999999997,8.370000000000001
39,Czech Republic,CZE,169.71,152.99,148.54,143.83,136.55,136.52,138.14,135.64,129.01,120.91,131.55,131.51,125.89,130.23,130.78,127.71999999999998,134.19,137.17,132.11,124.47,127.55,119.21000000000001,115.81000000000002,110.52,107.79999999999998,109.72000000000003,111.53,111.57
40,Democratic Republic of the Congo,COD,203.63000000000002,202.53,202.92,203.3,203.63,203.61,210.13,216.10000000000002,218.25,210.66,206.71,196.31999999999996,197.70000000000002,203.93,208.26999999999998,210.93999999999997,209.12,207.98,210.07,210.81,211.73,214.73,214.30999999999997,222.94,219.12,219.91,224.74,224.38999999999996
41,Denmark,DNK,68.22,78.84,72.64,75.21,78.91,75.82,89.29,79.61999999999999,75.57,72.73,68.52,70.87,70.34,76.12,69.72,65.85,72.89,68.1,64.61000000000001,61.78999999999999,62.22,55.420000000000016,50.35,51.88999999999999,47.64,45.56000000000001,47.28,45.11000000000001
42,Djibouti,DJI,0.9899999999999999,1.0100000000000002,1.0200000000000002,1.0400000000000005,1.05,1.1,1.1499999999999997,1.1799999999999997,1.1900000000000002,1.23,1.27,1.2799999999999994,1.3099999999999996,1.3300000000000005,1.3200000000000003,1.3600000000000003,1.3599999999999997,1.4,1.4100000000000004,1.3999999999999992,1.4600000000000006,1.4200000000000017,1.4599999999999966,1.520000000000003,1.4300000000000026,1.509999999999998,1.469999999999999,1.4599999999999975
43,Dominica,DMA,0.15000000000000024,0.1499999999999997,0.16999999999999993,0.16000000000000025,0.16000000000000028,0.17000000000000007,0.14000000000000012,0.15000000000000008,0.14999999999999997,0.15000000000000005,0.16000000000000003,0.2299999999999998,0.19999999999999996,0.21000000000000052,0.23000000000000012,0.2399999999999997,0.7600000000000001,0.7699999999999999,0.7800000000000006,1.0900000000000003,0.7700000000000008,0.35000000000000014,0.4400000000000046,0.3599999999999983,0.35999999999999654,0.3699999999999984,0.3700000000000022,0.3499999999999965
