Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-BDI-BDOLPPP.A","        Burundi","NA","NA","NA","NA","NA","NA","NA","NA","5.51854","5.59329","5.79335","6.15102","6.23973","5.81431","5.62345","5.17107","4.7474","4.76272","4.99693","5.05205","5.14591","5.22011","5.35272","5.48038","5.68333","5.93414","6.25701","6.47584","6.78651","7.04637","7.407","7.70315","8.04524","8.52903","8.89456","8.551","8.49979","8.54422","8.68695","8.84175","8.8683"
"INTL.4701-34-CPV-BDOLPPP.A","        Cabo Verde","NA","NA","NA","NA","NA","NA","NA","NA","0.858362","0.907279","0.913522","0.926372","0.954566","1.02438","1.09534","1.17738","1.25623","1.35219","1.46595","1.63984","1.75899","1.86694","1.96556","2.05762","2.14568","2.2856","2.5174","2.73514","2.91703","2.87997","2.92221","3.03819","3.07106","3.09572","3.11464","3.146","3.29404","3.41599","3.57077","3.77316","3.2166"
"INTL.4701-34-KHM-BDOLPPP.A","        Cambodia","NA","NA","NA","NA","NA","NA","NA","NA","13.9063","13.8703","14.0312","15.0957","16.157","16.8181","10.9638","12.0498","12.7603","13.2715","13.8927","15.6575","17.3354","18.6256","19.851","21.5399","23.7669","26.916","29.8156","32.8608","35.0596","35.089","37.1814","39.8108","42.7006","45.895","49.1407","52.598","56.2179","60.1412","64.6331","69.1922","67.0504"
"INTL.4701-34-CMR-BDOLPPP.A","        Cameroon","NA","NA","NA","NA","NA","NA","NA","NA","38.8249","38.1186","35.7912","34.4281","33.3608","30.7146","31.367","32.4553","33.8707","35.6426","37.2473","38.846","40.227","41.9835","43.7627","45.761","48.8643","49.8513","51.5752","54.1039","55.9916","57.2225","59.1807","61.6246","64.424","67.906","71.9015","75.965","79.3422","82.3175","85.6088","88.9149","89.4368"
"INTL.4701-34-CAN-BDOLPPP.A","        Canada","693.654","717.752","694.876","712.952","755.076","790.848","807.811","840.712","877.788","898.127","899.607","880.839","888.77","912.419","953.426","979.112","994.965","1037.55","1077.975","1133.63","1192.326","1213.666","1250.297","1272.819","1312.113","1354.155","1389.827","1418.622","1432.869","1390.944","1433.923","1479.036","1505.08","1540.137","1584.338","1594.783","1610.753","1659.717","1700.04","1731.686","1639.682"
"INTL.4701-34-CYM-BDOLPPP.A","        Cayman Islands","NA","NA","NA","NA","NA","NA","NA","NA","1.23595","1.3452","1.52274","1.54323","1.59069","1.66682","1.75525","1.83958","1.93143","2.03761","2.65456","2.74441","2.77128","2.78671","2.83478","2.89148","2.91744","3.10693","3.24987","3.2769","3.34067","3.10013","3.01594","3.0512","3.08872","3.12823","3.21128","3.30225","3.40925","3.51502","3.66007","3.77842","3.38156"
"INTL.4701-34-CAF-BDOLPPP.A","        Central African Republic","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3.39193","3.43195","3.38628","3.37448","3.54916","3.73205","3.45034","3.66153","3.82823","4.05555","4.1335","4.15956","4.13418","3.84265","3.94903","4.04308","4.23529","4.40602","4.52115","4.64829","4.86354","5.06755","5.32365","3.38627","3.38901","3.536","3.70397","3.87166","4.01837","4.13773","4.12511"
"INTL.4701-34-TCD-BDOLPPP.A","        Chad","NA","NA","NA","NA","NA","NA","NA","NA","5.80509","5.91841","6.10792","6.74326","6.90456","6.76136","7.13283","7.07755","7.22724","7.6358","8.16664","8.11086","8.03948","8.97673","9.73894","11.1727","14.93","16.1708","16.2756","16.8081","17.323","18.04","20.493","20.5176","22.3246","23.609","25.2363","25.683","24.2555","23.6783","24.2236","24.9406","24.7194"
"INTL.4701-34-CHL-BDOLPPP.A","        Chile","81.1707","84.9926","76.19391","73.33991","79.211","84.8463","89.5928","95.3862","102.3315","113.4004","117.7003","126.9165","142.2014","152.0369","160.6783","177.9229","189.3663","203.2908","212.3567","211.2597","222.5512","229.9186","237.0516","246.7804","264.5005","279.8254","297.5127","312.1349","323.1313","318.159","336.8215","357.0978","376.4778","391.8617","398.6174","407.618","414.229","420.055","435.871","439.698","413.3656"
"INTL.4701-34-CHN-BDOLPPP.A","        China","684.645","719.562","784.322","869.03","1001.122","1135.273","1236.312","1380.959","1535.627","1600.124","1662.529","1817.143","2076.555","2364.878","2673.051","2966.334","3260.751","3562.32","3842.187","4137.41","4487.904","4861.4","5304.5","5836.38","6426.61","7158.53","8068.16","9217.35","10101.83","11055.25","12228.84","13396.95","14448.45","15571.31","16722.22","17895.86","19121.76","20444.71","21822.11","23128.31","23663.41"
