Report generated on: 11-03-2021 14:27:40
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"","GDP at purchasing power parities (Billion 2015$ PPP)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4701-34-LBY-BDOLPPP.A","        Libya","NA","NA","NA","NA","NA","NA","NA","NA","95.4225","102.292","106.098","122.708","119.379","114.887","117.11","114.509","116.953","123.05","118.679","119.568","122.364","122.99","121.453","137.199","143.285","158.029","168.641","177.22","203.151","201.635","210.355","81.4741","183.08","118.189","68.406","48.497","41.0245","67.2846","76.6651","84.2519","33.9373"
"INTL.4701-34-LTU-BDOLPPP.A","        Lithuania","--","--","--","--","--","--","--","--","--","--","--","--","47.3125","39.6356","35.7648","36.1907","38.0014","41.1526","44.2567","43.7535","45.3844","48.3712","51.6287","57.0471","60.7594","65.5771","70.4576","78.2767","80.1655","68.3917","69.4752","73.7247","76.5297","79.3215","82.0762","83.784","85.7976","89.5323","93.0418","97.0835","96.2863"
"INTL.4701-34-LUX-BDOLPPP.A","        Luxembourg","NA","NA","NA","NA","NA","NA","NA","NA","20.4426","22.4455","23.612","25.653","26.12","27.2172","28.2569","29.4522","29.8611","31.566","33.4741","36.313","39.3052","40.3004","41.8397","42.5213","44.0573","45.4551","47.8088","51.8032","51.1402","48.9113","51.2908","52.5931","52.4078","54.3229","56.657","59.097","61.8004","62.9135","64.8707","66.3613","65.4893"
"INTL.4701-34-MAC-BDOLPPP.A","        Macau","NA","NA","NA","NA","NA","NA","NA","NA","14.4018","15.1255","16.3325","16.9301","19.1817","20.1765","21.0345","21.7279","21.6369","21.5765","20.5902","20.1045","21.2599","21.8739","23.8231","26.5962","33.6789","36.3987","41.2726","47.2475","48.8498","49.4722","61.9011","75.2819","82.2397","91.0828","89.2171","70.042","69.5696","76.5144","81.4618","79.3203","34.6564"
"INTL.4701-34-MDG-BDOLPPP.A","        Madagascar","NA","NA","NA","NA","NA","NA","NA","NA","20.0256","20.8416","21.4937","20.1383","20.3761","20.804","20.7952","21.1443","21.5998","22.3975","23.2749","24.3686","25.4547","26.9769","23.6296","25.9418","27.3055","28.6042","30.1484","31.87","34.0093","32.6562","32.8584","33.377","34.3821","35.173","36.3475","37.486","38.9829","40.5162","41.8127","43.6525","41.8191"
"INTL.4701-34-MWI-BDOLPPP.A","        Malawi","NA","NA","NA","NA","NA","NA","NA","NA","5.87414","5.95313","6.292","6.8413","6.33963","6.95406","6.24195","7.28616","7.81926","8.1158","8.43193","8.68845","8.82539","8.38633","8.5289","9.01553","9.50421","9.81488","10.2762","11.2627","12.1231","13.1328","14.0355","14.7168","14.9943","15.774","16.6732","17.14","17.5658","18.2684","19.076","20.1673","20.3287"
"INTL.4701-34-MYS-BDOLPPP.A","        Malaysia","104.3912","111.6391","118.3099","125.668","135.4224","133.8997","135.4431","142.7431","156.928","171.1451","186.5623","204.7004","222.9073","244.9624","267.5353","293.839","323.2327","346.9173","321.3882","341.0925","370.6675","372.5861","392.6731","415.4031","443.578","465.651","491.655","522.625","547.879","539.585","580.205","610.918","644.357","674.601","715.123","750.929","784.344","829.936","870.131","908.76","857.443"
"INTL.4701-34-MDV-BDOLPPP.A","        Maldives","NA","NA","NA","NA","NA","NA","NA","NA","1.48965","1.62214","1.88669","2.0168","2.14721","2.26361","2.43372","2.61291","2.81825","3.05493","3.28388","3.48669","3.62078","3.47799","3.73078","4.24377","4.49982","3.90904","4.92975","5.31001","5.81369","5.39343","5.78527","6.28088","6.43899","6.90782","7.41414","7.628","8.11142","8.6963","9.40321","10.0602","6.54699"
"INTL.4701-34-MLI-BDOLPPP.A","        Mali","NA","NA","NA","NA","NA","NA","NA","NA","3.09152","3.32306","3.40314","3.90195","3.832","4.00474","4.29111","5.8886","7.07837","7.89007","8.4039","9.51453","9.96204","11.4226","12.3284","13.9252","13.0684","14.4234","16.2283","17.5757","19.2535","21.5151","23.8536","25.7022","28.5849","30.59","32.9725","35.447","38.6034","41.2007","43.9911","46.9131","45.9747"
"INTL.4701-34-MLT-BDOLPPP.A","        Malta","NA","NA","NA","NA","NA","NA","NA","NA","5.37514","5.81896","6.18881","6.57099","6.8792","7.17508","7.38466","8.07504","8.39558","8.80242","9.11062","9.48047","10.0722","9.96062","10.215","10.6266","10.6481","11.005","11.2857","11.8257","12.2772","12.137","12.8102","12.8732","13.4006","14.1321","15.2139","16.674","17.3101","19.2021","20.3784","21.558","19.7956"
"INTL.4701-34-MTQ-BDOLPPP.A","        Martinique","NA","NA","NA","NA","NA","NA","NA","NA","3.10376","3.28192","2.65179","2.79843","2.8614","4.72703","4.86354","4.95003","5.17864","5.34488","5.53498","5.72016","5.76131","6.07242","6.13922","6.35409","6.6019","6.89238","7.08537","7.14914","7.12769","6.66439","6.97095","7.04066","7.04066","7.00546","7.10354","7.13195","7.0535","7.0676","7.15242","7.25255","6.80355"
"INTL.4701-34-MRT-BDOLPPP.A","        Mauritania","6.56487","6.79138","6.63246","6.88021","6.65819","6.85759","7.2494","7.38717","7.51426","7.87326","7.7338","7.87209","8.01962","8.49067","8.23079","9.03903","9.565","9.17813","9.43307","9.77956","9.3964","9.32128","9.45005","10.1048","10.583","11.4896","13.596","13.3282","13.2841","13.2971","13.6455","14.2149","14.8503","15.4667","16.1279","16.995","17.2093","17.8111","18.1879","19.2667","18.9799"
"INTL.4701-34-MUS-BDOLPPP.A","        Mauritius","4.54599","4.81341","5.07801","5.09751","5.33699","5.70816","6.26425","6.82121","7.28446","7.60972","8.15661","8.51838","9.07317","9.53427","9.92863","10.35434","10.93293","11.55473","12.25632","12.57633","13.60794","14.06347","14.29058","15.13736","15.79281","16.07354","16.89452","17.86208","18.84822","19.44343","20.26889","21.1104","21.88028","22.5949","23.45554","24.27816","25.20134","26.1587","27.13042","27.95627","23.76163"
"INTL.4701-34-MEX-BDOLPPP.A","        Mexico","984.775","1068.864","1063.286","1026.137","1061.087","1084.144","1050.398","1068.639","1082.168","1126.866","1185.06","1234.757","1278.83","1311.199","1375.884","1289.344","1373.592","1470.564","1546.886","1589.314","1664.166","1660.907","1660.106","1684.466","1746.737","1790.464","1870.936","1913.617","1931.38","1833.254","1927.265","1998.025","2066.705","2099.257","2159.239","2230.739","2284.278","2337.396","2388.264","2384.14","2181.154"
"INTL.4701-34-FSM-BDOLPPP.A","        Micronesia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-MDA-BDOLPPP.A","        Moldova","--","--","--","--","--","--","--","--","--","--","--","--","NA","NA","NA","15.0124","14.1301","14.3628","13.4232","12.9711","13.2445","14.0579","15.1557","16.1595","17.3494","18.6509","19.5433","20.1292","21.7069","20.4067","21.8544","23.1259","22.9895","25.0687","26.322","26.233","27.3896","28.6744","29.9078","30.9415","28.6824"
"INTL.4701-34-MNG-BDOLPPP.A","        Mongolia","NA","NA","NA","NA","NA","NA","NA","NA","9.85327","10.2671","10.0104","9.0896","8.2296","7.98224","8.16682","9.50142","9.72499","10.1138","10.4711","10.8078","10.922","11.0362","11.4602","12.1615","13.4537","14.4296","15.6642","17.2695","18.8065","18.568","19.7498","23.2135","26.1107","29.1319","31.486","32.285","32.7297","34.5085","36.9381","38.7949","36.715"
"INTL.4701-34-MNE-BDOLPPP.A","        Montenegro","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","8.38834","8.95875","9.60378","9.04676","9.29102","9.58833","9.32945","9.65598","9.82979","10.164","10.4588","10.9503","11.5088","11.9806","10.0705"
"INTL.4701-34-MSR-BDOLPPP.A","        Montserrat","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-MAR-BDOLPPP.A","        Morocco","NA","NA","NA","NA","NA","NA","NA","NA","89.551","92.0998","95.2421","102.115","99.9727","99.2323","109.739","103.807","116.651","114.831","123.143","123.794","125.767","135.264","139.75","148.577","155.71","160.35","172.792","177.287","187.788","195.757","203.227","213.887","220.326","230.318","236.48","247.207","249.827","260.442","268.642","275.648","258.301"
"INTL.4701-34-MOZ-BDOLPPP.A","        Mozambique","NA","NA","NA","NA","NA","NA","NA","NA","5.57163","5.93379","5.99313","6.288319","5.90317","6.52883","6.95537","7.11254","7.90934","8.80318","9.67744","10.80956","10.93714","12.2591","13.3981","14.31969","15.4533","16.48031","18.07797","19.47535","20.90052","22.22104","23.66594","25.42133","27.26651","29.16527","31.32307","33.42898","34.70738","36.03659","37.25525","38.10749","37.64137"
"INTL.4701-34-NAM-BDOLPPP.A","        Namibia","--","--","--","--","--","--","--","--","--","--","8.45449","9.14497","9.80241","9.64749","9.81438","10.197","10.5226","10.9666","11.3275","11.7091","12.1181","12.2609","12.848","13.3927","15.036","15.4163","16.5066","17.3938","17.8547","17.9074","18.989","19.9558","20.9659","22.2524","23.6083","24.615","24.6234","24.3704","24.6489","24.5009","22.549"
"INTL.4701-34-NRU-BDOLPPP.A","        Nauru","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-NPL-BDOLPPP.A","        Nepal","NA","NA","NA","NA","NA","NA","NA","NA","25.6977","26.7713","28.2939","29.8008","30.861","32.827","34.7594","36.2041","38.1707","39.6611","41.0426","43.2994","45.8552","46.8134","47.6077","49.8144","51.8671","53.6034","55.3212","58.0219","61.1773","64.0403","66.6229","69.3349","72.3893","76.1635","79.9056","80.943","84.4463","91.0947","97.2567","104.191","99.2707"
"INTL.4701-34-NLD-BDOLPPP.A","        Netherlands","410.778","408.668","403.425","410.518","423.319","434.564","448.147","456.438","477.367","498.755","519.594","532.33","540.79","547.625","564.101","582.452","599.847","626.88","655.458","687.75","717.194","733.917","735.518","737.08","750.059","765.472","793.164","823.06","840.982","810.09","820.633","833.256","824.667","823.981","835.776","852.135","870.39","896.625","917.417","934.921","899.343"
"INTL.4701-34-NLDA-BDOLPPP.A","        Netherlands Antilles","NA","NA","NA","NA","NA","NA","NA","NA","2.23597","2.41037","2.44653","2.49057","2.57024","2.68778","2.83424","2.87897","2.91897","2.95465","2.86265","2.81088","2.75424","2.79306","2.80423","2.8519","2.88612","2.91787","2.9656","3.03885","3.10535","3.08885","3.09139","3.11033","3.10601","3.08134","3.04625","3.05474","3.0246","2.972","2.90762","2.80876","2.24904"
"INTL.4701-34-NCL-BDOLPPP.A","        New Caledonia","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-NZL-BDOLPPP.A","        New Zealand","67.06409","70.1865","70.839","73.3124","76.8264","78.0667","80.17941","80.92741","81.7967","83.0215","83.8988","82.0868","82.8017","86.8392","92.63141","96.64851","100.2492","103.2748","104.0569","108.7051","113.1801","115.6692","121.5861","127.1462","132.7826","136.1923","139.8587","145.3266","144.6677","145.3153","148.2073","150.8899","154.8753","158.3823","163.5775","170.5092","177.5723","184.705","192.8594","198.6266","196.3769"
"INTL.4701-34-NIC-BDOLPPP.A","        Nicaragua","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","13.5576","13.5319","13.5842","13.5312","13.9825","14.8093","15.749","16.3737","16.9814","18.1762","18.9218","19.482","19.6289","20.1237","21.1927","22.1002","23.0178","24.18","25.036","24.1936","25.2597","26.8569","28.6011","30.0175","31.4511","32.945","34.458","36.0541","34.8624","33.5593","32.8776"
"INTL.4701-34-NER-BDOLPPP.A","        Niger","NA","NA","NA","NA","NA","NA","NA","NA","9.1657","9.25342","9.13234","9.09221","9.27412","9.30395","9.47652","9.70938","9.71914","9.8676","10.8517","10.8278","10.697","11.4745","12.0388","12.3001","12.3449","13.25","14.0359","14.477","15.5962","15.9023","17.2665","17.6736","19.5379","20.5764","21.9431","22.907","24.2148","25.4253","27.2608","28.87","29.2071"
"INTL.4701-34-NGA-BDOLPPP.A","        Nigeria","NA","278.4538","259.5095","231.1606","228.5815","242.0976","242.2453","249.9973","268.3322","273.4825","305.6902","306.7856","320.9936","314.4608","308.7536","308.5293","321.475","330.9171","339.4589","341.4417","358.5682","379.7871","438.006","470.186","513.682","546.755","579.885","618.106","659.918","712.956","781.305","819.862","854.69","900.357","957.11","982.928","967.542","975.022","993.851","1015.88","997.46"
"INTL.4701-34-NIU-BDOLPPP.A","        Niue","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-PRK-BDOLPPP.A","        North Korea","NA","NA","NA","NA","NA","NA","NA","NA","52.4183","53.1522","50.8667","48.6198","45.1756","43.1522","42.2414","40.3936","39.0394","36.5083","36.1782","38.3771","38.5353","39.9827","40.463","41.1987","42.054","43.6356","43.188","42.6756","43.9978","43.598","43.3921","43.7379","44.3102","44.7851","45.2523","44.7353","46.4659","44.8478","42.9875","43.1394","41.1976"
"INTL.4701-34-MKD-BDOLPPP.A","        North Macedonia","--","--","--","--","--","--","--","--","--","--","--","--","18.2996","16.9272","16.6225","16.4396","16.6369","16.8698","17.4434","18.1935","19.0122","18.429","18.7043","19.12","20.0137","20.9591","22.0358","23.4623","24.7462","24.6574","25.4856","26.0819","25.9629","26.7224","27.6922","28.76","29.5791","29.8991","30.7604","31.7368","30.2985"
"INTL.4701-34-MNP-BDOLPPP.A","        Northern Mariana Islands","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.284","1.239","1.21","1.061","0.99","0.938","0.939","0.795","0.799","0.733","0.751","0.782","0.845","0.931","1.25","1.601","1.323","NA","NA"
"INTL.4701-34-NOR-BDOLPPP.A","        Norway","133.0801","135.1255","135.4316","140.4327","149.2066","157.9371","164.4851","167.2947","166.4436","168.1635","171.4042","176.7079","183.0447","188.18","197.5997","205.9443","216.3419","227.7209","233.7555","238.4006","246.0684","251.0615","254.2406","256.7408","266.9538","274.2144","280.9116","289.125","289.7149","286.0012","287.2228","290.5202","297.9632","301.1808","307.6388","313.2413","315.1562","323.7845","328.1918","331.0196","326.7061"
"INTL.4701-34-OMN-BDOLPPP.A","        Oman","NA","NA","NA","NA","NA","NA","NA","NA","44.8428","46.1806","50.0509","53.0729","57.5815","61.1194","63.4696","66.5347","68.4608","72.6899","74.6549","74.9021","79.8094","83.3868","82.4691","80.268","81.3052","83.33","87.8066","91.7163","99.2368","105.303","107.108","109.955","119.901","126.022","127.86","133.78","140.599","141.086","142.383","141.208","133.058"
"INTL.4701-34-PAK-BDOLPPP.A","        Pakistan","NA","NA","NA","NA","NA","NA","NA","NA","289.756","304.128","317.688","335.015","361.263","365.807","379.478","398.31","417.615","421.851","432.609","448.443","472.181","488.964","501.229","530.185","570.197","607.367","643.196","674.28","685.752","705.17","716.5","736.193","762.011","795.513","832.7","872.097","920.295","971.411","1028.11","1039.88","1030.15"
"INTL.4701-34-PSE-BDOLPPP.A","        Palestinian Territories","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","5.59401","6.39586","6.92547","6.33296","5.74329","5.02605","5.73048","6.98686","7.77572","7.69823","7.98986","8.58344","9.32106","9.85957","10.8062","11.465","12.0037","11.9847","12.4307","13.5326","13.7247","13.8931","14.0824","12.4689"
"INTL.4701-34-PAN-BDOLPPP.A","        Panama","NA","NA","NA","NA","NA","NA","NA","NA","20.8296","21.1728","22.8986","25.0501","27.0917","28.567","29.4038","29.8778","32.0968","34.1689","36.6971","38.0996","39.1638","39.3718","40.2808","41.9568","45.1259","48.3597","52.4796","58.8239","64.6215","65.4247","69.2377","77.0707","84.6071","90.4483","95.0308","100.479","105.456","111.352","115.359","118.865","97.5298"
"INTL.4701-34-PNG-BDOLPPP.A","        Papua New Guinea","NA","NA","NA","NA","NA","NA","NA","NA","9.7531","9.61386","9.32585","10.2145","11.6291","13.7458","14.5626","14.0803","15.009","14.0568","14.715","14.988","14.6201","14.6139","14.9071","15.5611","15.6493","16.2642","16.6372","17.9375","17.8843","19.1005","21.0351","21.268","22.2585","23.1099","26.2399","27.966","29.5012","30.544","30.4587","32.4518","31.1444"
"INTL.4701-34-PRY-BDOLPPP.A","        Paraguay","NA","NA","NA","NA","NA","NA","NA","NA","31.3036","33.3299","34.7738","35.939","36.4838","38.3186","40.3824","43.1377","43.8166","45.6755","45.7066","45.0822","44.0389","43.6716","43.6622","45.5488","47.3969","48.4081","50.7351","53.4858","56.9604","56.8116","63.115","65.8204","65.3543","70.7742","74.5261","76.73","80.0048","83.8531","86.54","86.1922","85.7046"
"INTL.4701-34-PER-BDOLPPP.A","        Peru","NA","NA","NA","NA","NA","NA","NA","NA","134.531","117.673","112.222","114.424","113.79","119.646","134.259","144.106","148.074","157.651","157.159","159.496","163.875","164.86","173.862","181.087","189.954","201.759","216.87","235.272","256.867","259.838","281.451","299.322","317.682","336.21","344.415","355.504","369.581","378.806","393.843","402.423","358.103"
"INTL.4701-34-PHL-BDOLPPP.A","        Philippines","217.96","222.4219","230.648","235.0235","218.4792","203.495","210.639","219.8266","234.5483","249.0527","256.7301","255.6099","256.6772","262.2776","273.7488","286.4103","303.195","318.92","317.2804","327.898","342.2681","352.7047","365.8125","384.4204","409.6742","429.922","452.779","482.297","503.249","510.539","547.985","569.127","608.38","649.448","690.675","734.521","787.035","841.584","894.953","949.711","858.796"
"INTL.4701-34-POL-BDOLPPP.A","        Poland","NA","NA","NA","NA","NA","NA","NA","NA","NA","474.277","419.343","389.924","399.7305","414.674","436.622","466.878","493.36","523.973","547.767","572.612","599.309","607.97","619.752","641.7","674.651","697.893","741.675","794.011","828.29","850.399","881.04","925.44","940.437","952.7","983.782","1020.701","1051.847","1102.619","1161.929","1217.372","1185.27"
"INTL.4701-34-PRT-BDOLPPP.A","        Portugal","177.6304","177.6304","177.6304","177.6304","177.6304","177.6304","181.7737","191.9121","196.7921","207.4823","217.3816","222.6823","226.9065","223.7879","229.3218","243.9734","252.523","263.6359","276.3115","287.1058","298.0622","303.8554","306.1981","303.3488","308.7748","311.189","316.2457","324.1728","325.2078","315.0545","320.5292","315.0924","302.3083","299.5188","301.8917","307.3017","313.5076","324.5002","333.7461","342.6999","313.7677"
"INTL.4701-34-PRI-BDOLPPP.A","        Puerto Rico","NA","NA","NA","NA","NA","NA","NA","NA","44.9394","47.1579","48.9401","50.0641","52.3492","54.7821","57.0746","59.6702","61.0531","64.0333","67.5755","71.2138","73.5433","78.1873","78.9046","78.9416","81.3376","79.7215","78.5979","77.684","76.2513","74.7626","74.4536","74.1867","74.2084","73.9807","73.1001","72.3329","71.4194","69.3582","66.1264","66.9118","63.4272"
"INTL.4701-34-QAT-BDOLPPP.A","        Qatar","NA","NA","NA","NA","NA","NA","NA","NA","23.712","25.1873","26.0476","25.6149","28.5169","28.1389","28.5383","29.223","30.5014","39.6553","44.1036","45.9932","49.6858","51.6228","55.3305","57.3884","68.418","73.5444","92.7913","109.48","128.818","144.221","172.477","195.546","204.795","216.174","227.705","238.529","245.838","242.156","245.146","246.834","238.21"
"INTL.4701-34-REU-BDOLPPP.A","        Reunion","NA","NA","NA","NA","NA","NA","NA","NA","8.77309","8.55201","10.6815","10.9378","12.1957","11.0724","11.2385","11.9803","12.2319","12.9291","13.5238","14.3893","15.3254","15.8624","16.6603","17.2249","18.0401","18.8842","19.6302","20.7469","21.0136","20.3482","20.3923","21.0245","21.0355","21.1922","21.8395","22.451","23.147","23.8877","24.2938","24.8472","22.8952"
"INTL.4701-34-ROU-BDOLPPP.A","        Romania","266.8698","268.882","279.6186","296.6706","314.2099","313.9022","321.4372","324.022","322.4379","303.7535","286.7818","249.7913","227.7534","231.1321","240.149","247.8612","257.7212","247.6561","242.5529","241.2272","247.4441","258.9296","273.4366","279.6611","307.6911","323.1484","348.5896","373.4404","408.046","386.4731","372.5311","379.0706","386.7613","400.4056","415.426","428.19","448.162","479.675","501.882","522.405","503.271"
"INTL.4701-34-RUS-BDOLPPP.A","        Russia","--","--","--","--","--","--","--","--","--","--","--","--","2477.339","2262.015","1972.455","1873.785","1806.684","1831.537","1734.118","1844.195","2029.618","2132.755","2233.977","2398.305","2569.676","2734.043","2957.288","3210.142","3378.583","3114.345","3254.873","3370.572","3506.206","3567.754","3594.023","3523.123","3529.946","3594.393","3695.302","3770.424","3659.142"
"INTL.4701-34-RWA-BDOLPPP.A","        Rwanda","NA","NA","NA","NA","NA","NA","NA","NA","6.25411","6.25183","6.10183","5.94841","6.29774","5.78708","2.87918","3.89335","4.38958","4.99753","5.44024","5.677","6.15221","6.6742","7.55467","7.72105","8.29609","9.07408","10.6496","11.4618","12.7406","13.5321","14.5303","15.685","17.0406","17.8439","18.9455","20.62","21.8545","22.7257","24.6749","27.008","26.0984"
"INTL.4701-34-SHN-BDOLPPP.A","        Saint Helena","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-KNA-BDOLPPP.A","        Saint Kitts and Nevis","NA","NA","NA","NA","NA","NA","NA","NA","0.505503","0.535967","0.552687","0.565234","0.582629","0.614197","0.647391","0.669801","0.7093","0.761269","0.769061","0.799387","0.851264","0.897775","0.920957","0.887662","0.919678","1.00035","1.01847","1.01668","1.08064","1.04801","1.02444","1.04901","1.04271","1.11111","1.168","1.225","1.26359","1.28794","1.32291","1.36317","0.848103"
"INTL.4701-34-LCA-BDOLPPP.A","        Saint Lucia","NA","NA","NA","NA","NA","NA","NA","NA","1.26194","1.35486","1.39483","1.40304","1.50541","1.50947","1.53577","1.55315","1.6624","1.65664","1.76207","1.80227","1.79574","1.72926","1.72904","1.81214","1.95933","1.92641","2.23457","2.28269","2.39426","2.35925","2.36876","2.4667","2.45755","2.40903","2.44128","2.447","2.52399","2.58835","2.61054","2.649","2.05415"
"INTL.4701-34-SPM-BDOLPPP.A","        Saint Pierre and Miquelon","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"INTL.4701-34-VCT-BDOLPPP.A","        Saint Vincent/Grenadines","NA","NA","NA","NA","NA","NA","NA","NA","0.631229","0.640098","0.666662","0.674233","0.71723","0.733437","0.718495","0.77204","0.784491","0.813132","0.854224","0.890336","0.906524","0.922562","0.980329","1.05567","1.09949","1.12698","1.21379","1.25407","1.27394","1.24716","1.20543","1.20031","1.21699","1.23927","1.25431","1.271","1.29512","1.30807","1.33637","1.34094","1.19488"
"INTL.4701-34-WSM-BDOLPPP.A","        Samoa","0.47651","0.433336","0.429072","0.431204","0.439732","0.465317","0.48717","0.489835","0.503693","0.533009","0.498896","0.486637","0.506891","0.515419","0.548466","0.584177","0.626818","0.631615","0.638544","0.634813","0.666794","0.716363","0.756872","0.796315","0.820833","0.8752","0.893856","0.898119","0.9301","0.925303","0.948755","0.988198","0.947689","0.943958","0.944491","0.985","1.06442","1.07561","1.05322","1.09107","1.05642"
"INTL.4701-34-STP-BDOLPPP.A","        Sao Tome and Principe","NA","NA","NA","NA","NA","NA","NA","NA","0.386515","0.398634","0.390052","0.394737","0.3975","0.401873","0.410714","0.418928","0.425212","0.429449","0.440185","0.45119","0.453213","0.467101","0.476457","0.509638","0.529169","0.566707","0.618365","0.638485","0.690752","0.707513","0.754718","0.78791","0.812667","0.851795","0.907587","0.943086","0.982363","1.02017","1.05022","1.06389","1.09212"
"INTL.4701-34-SAU-BDOLPPP.A","        Saudi Arabia","NA","NA","NA","NA","NA","NA","NA","NA","645.48","642.233","739.81","850.84","884.768","872.702","877.578","879.439","902.634","912.596","939.001","903.664","954.499","942.942","916.359","1019.38","1100.5","1161.84","1194.24","1216.3","1292.32","1265.7","1329.49","1462.4","1541.53","1583.14","1640.97","1708.35","1736.89","1724.01","1765.19","1771.04","1698.31"
"INTL.4701-34-SEN-BDOLPPP.A","        Senegal","NA","NA","NA","NA","NA","NA","NA","NA","18.0642","18.7821","18.6419","19.1378","19.3904","19.6542","19.6448","20.7191","21.1377","21.7814","23.0662","24.5155","25.4685","26.5664","26.5847","28.0718","29.3752","30.6414","31.3556","32.242","32.8463","33.6362","34.8345","35.2032","36.9922","38.1683","40.7251","43.3182","46.0717","49.4847","52.6327","54.8704","56.009"
"INTL.4701-34-SRB-BDOLPPP.A","        Serbia","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","92.0381","97.9649","103.505","100.678","101.414","103.479","102.774","105.747","104.066","105.951","109.473","111.752","116.789","121.683","120.57"
"INTL.4701-34-SYC-BDOLPPP.A","        Seychelles","NA","NA","NA","NA","NA","NA","NA","NA","0.791804","0.8732629","0.938362","0.964101","1.033667","1.097594","1.088717","1.081962","1.102285","1.268496","1.41092","1.438223","1.436437","1.404363","1.422101","1.332084","1.305172","1.422725","1.562301","1.720341","1.687","1.682375","1.792425","1.863869","1.931664","2.049011","2.141596","2.247662","2.349187","2.460741","2.503831","2.532797","2.257772"
"INTL.4701-34-SLE-BDOLPPP.A","        Sierra Leone","NA","NA","NA","NA","NA","NA","NA","NA","6.24631","6.29191","6.50269","6.65563","5.3902","5.46428","5.35787","4.92926","5.01571","4.72094","4.8052","4.7101","5.02345","4.70469","5.94753","6.50144","6.9304","7.24262","7.54854","8.15681","8.59714","8.87123","9.34552","9.9357","11.4441","13.8148","14.4444","11.469","12.1635","12.6757","13.1126","13.8347","13.5361"
"INTL.4701-34-SGP-BDOLPPP.A","        Singapore","52.6156","58.3065","62.4476","67.78959","73.7501","73.2906","74.27491","82.2948","91.5643","100.866","110.7721","118.1811","126.0281","140.4743","156.0636","167.3017","179.8014","194.7608","190.485","201.3884","219.5922","217.2448","225.7489","235.9884","259.1616","278.2333","303.2885","330.6517","336.829","337.2366","386.2223","410.701","429.024","449.778","467.49","481.461","497.489","519.977","538.164","545.403","516"
"INTL.4701-34-SVK-BDOLPPP.A","        Slovakia","--","--","--","--","--","--","--","--","--","--","--","--","--","65.0208","69.0556","74.1498","79.0583","83.74341","87.1565","87.0644","88.0803","90.9461","95.0472","100.2738","105.5672","112.5594","122.1194","135.3475","142.8927","135.0971","143.0292","147.1015","149.8918","150.8905","154.8765","162.3339","165.7961","170.8413","177.2798","181.3875","172.2111"
"INTL.4701-34-SVN-BDOLPPP.A","        Slovenia","--","--","--","--","--","--","--","--","--","--","--","--","33.3454","34.2936","36.1201","40.1631","41.3636","43.4718","44.8217","47.1571","49.0239","50.7331","52.4624","53.9526","56.019","58.3931","61.9159","66.2879","68.3526","63.1301","63.9038","64.6293","62.9895","62.3872","64.0153","65.283","67.4206","70.8707","74.0858","76.4882","72.8315"
