Report generated on: 11-03-2021 14:14:26
"API","","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"INTL.4008-8-BLZ-MMTCD.A","        Belize","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2255","0.2","0.2","0.2","0.2","0.2","0.3","0.2","0.2","0.2","0.3","0.3","0.3","0.3","0.3","0.3","0.3","0.4","0.4","0.4","0.7","0.9","0.8","0.8","0.9","1","1","1.073313812","1","0.5","0.5","0.423049876","0.476432412","0.516362349","0.505700203","0.597846","0.591488","0.676589459","0.577712955","--"
"INTL.4008-8-BEN-MMTCD.A","        Benin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.42067","0.4","0.3","0.4","0.4","0.5","0.5","0.4","0.5","0.5","0.6","0.7","0.8","0.8","0.9","1","1","1.1","1.2","1.3","1.7","1.7","1.7","2.1","2.4","2.5","3","3.303225783","3.403617675","4.500232667","5.100114705","4.722990331","4.372044823","4.538610429","4.840767399","5.375044116","6.605891585","6.976974384","6.947637191","--"
"INTL.4008-8-BMU-MMTCD.A","        Bermuda","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5307","0.5","0.5","0.5","0.5","0.5","0.5","0.7","0.8","0.9","0.7","0.5","0.4","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.6","0.6","0.6","0.6","0.768531146","0.8","0.7","0.7","0.527135539","0.559253927","0.580391832","0.747555419","0.638996","0.813297","0.775416033","0.797279806","--"
"INTL.4008-8-BTN-MMTCD.A","        Bhutan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.004403549","0.02495527","0.03135369","0.028700977","0.026028984","0.033157467","0.031679351","0.061041146","0.061727208","0.064717611","0.114148015","0.116088418","0.122191085","0.12412262","0.16544473","0.176947714","0.177733456","0.178519197","0.180241275","0.198763745","0.217286214","0.220313797","0.330248803","0.321628372","0.344729434","0.364410679","0.367068536","0.338869663","0.366884005","0.458871633","0.492486226","0.540145378","0.583256167","0.610481699","0.589683437","0.625257036","0.736112404","0.870389428","0.895528305","--"
"INTL.4008-8-BOL-MMTCD.A","        Bolivia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.13884618","4.63953927","4.03668","4.09585","4.042793333","3.583623333","3.642793333","3.442793333","3.908076667","4.579473333","4.8917","4.779473333","5.197813333","4.992891168","5.755007116","6.787921242","6.455985558","7.123834197","6.703551915","8.0622599","8.767200111","7.705578224","8.897322846","11.186008921","11.39020046","11.231409602","12.499241282","11.087513081","13.721463632","12.741271491","13.325875656","13.247764437","15.484720188","15.806032418","16.1814403","15.937316567","17.25413277","18.092137786","18.335565837","--"
"INTL.4008-8-BIH-MMTCD.A","        Bosnia and Herzegovina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","8.455783826","6.073801738","5.946905822","9.986675046","4.76732975","10.349730953","13.108146441","12.817986591","14.590383109","14.42719838","15.016145707","13.487441147","12.47860196","11.006871314","11.12803019","11.336612375","12.586240717","15.180806728","16.291911047","18.014810337","17.550581884","16.562038964","16.730131593","16.974379881","17.541523865","18.429986125","17.250525322","--"
"INTL.4008-8-BWA-MMTCD.A","        Botswana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.232439976","1.279654588","1.249508459","1.227665691","1.21675577","1.517163726","1.639398689","1.761208501","2.075161596","2.282128114","2.564767713","2.607885419","3.252271257","3.055759068","2.991893675","3.02467312","2.721831559","2.787109709","3.053071438","2.798868952","3.861523501","3.511330594","3.489899564","3.290869915","3.749805131","4.061087521","4.238218136","4.07774137","3.940151317","4.180684536","4.219064426","4.385739465","4.186221336","4.327005721","4.670282678","6.004342771","6.78770549","6.264534639","6.188921367","--"
"INTL.4008-8-BRA-MMTCD.A","        Brazil","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","187.731100826","178.096623767","174.065355486","166.134085081","181.00356415","194.906575648","215.790895603","222.947276004","223.394276154","231.995595162","243.069804424","251.544042026","243.906254218","265.128557628","279.392176316","299.819187827","316.633890261","333.150113347","329.492351347","341.813329688","329.940578609","335.185094754","333.035089014","330.961101354","343.714100385","349.608653362","352.292862767","367.110795791","387.394122429","370.325607589","412.272244033","434.677919443","461.941618162","490.751307673","512.935808849","509.936153726","474.190125965","484.135509561","461.81455498","--"
"INTL.4008-8-VGB-MMTCD.A","        British Virgin Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.02217","0.03498","0.03468","0.03498","0.0321","0.03275","0.03777","0.04407","0.04723","0.05039","0.05039","0.05039","0.0541","0.05411","0.05413","0.05406","0.0604","0.06039","0.06036","0.06036","0.06038","0.06038","0.06039","0.0699","0.08895","0.09531","0.1","0.11115615","0.1","0.1","0.2","0.17865226","0.177708728","0.177212161","0.179863623","0.183908","0.186382","0.174258053","0.216635316","--"
"INTL.4008-8-BRN-MMTCD.A","        Brunei","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5132476","4.693469187","5.008755533","4.049361253","3.634074907","4.313772047","2.82555618","4.47141522","3.99171808","4.57141522","3.862896493","3.2368218","3.142958767","2.951409586","2.913541163","3.497650496","3.486551409","3.702775948","3.243306501","3.6402303","3.757935894","4.24837587","4.87613904","5.193844634","5.823519808","6.610135774","9.827422017","10.186086444","10.533825884","7.240768203","8.211112966","8.481891847","8.241776193","7.701370983","8.587174605","9.287691078","9.744023642","9.83366762","10.22519768","--"
